CUCUÍ	-66.853	1.215
    13     2  1985     1149.200000
    14     2  1985     1156.870000
    15     2  1985     1126.290000
    16     2  1985     1073.330000
    17     2  1985     1013.710000
    18     2  1985      940.568000
    19     2  1985      876.102000
    20     2  1985      833.860000
    21     2  1985      751.198000
    22     2  1985      792.221000
    23     2  1985      833.860000
    24     2  1985      833.860000
    25     2  1985      819.913000
    26     2  1985      730.922000
    27     2  1985      671.059000
    28     2  1985      631.974000
     1     3  1985      625.525000
     2     3  1985      644.927000
     3     3  1985      671.059000
     4     3  1985      671.059000
     5     3  1985      671.059000
     6     3  1985      697.484000
     7     3  1985      717.494000
     8     3  1985      764.803000
     9     3  1985      778.478000
    10     3  1985      840.859000
    11     3  1985      926.130000
    12     3  1985      969.635000
    13     3  1985      940.568000
    14     3  1985      918.934000
    15     3  1985      904.592000
    16     3  1985      847.875000
    17     3  1985      792.221000
    18     3  1985      764.803000
    19     3  1985      764.803000
    20     3  1985      751.198000
    21     3  1985      744.422000
    22     3  1985      717.494000
    23     3  1985      697.484000
    24     3  1985      651.432000
    25     3  1985      631.974000
    26     3  1985      638.441000
    27     3  1985      657.956000
    28     3  1985      671.059000
    29     3  1985      677.638000
    30     3  1985      697.484000
    31     3  1985      730.922000
     1     4  1985      771.632000
     2     4  1985     1021.100000
     3     4  1985     1297.360000
     4     4  1985     1566.430000
     5     4  1985     1710.550000
     6     4  1985     1736.360000
     7     4  1985     1719.140000
     8     4  1985     1676.320000
     9     4  1985     1600.020000
    10     4  1985     1533.060000
    11     4  1985     1499.880000
    12     4  1985     1458.710000
    13     4  1985     1369.300000
    14     4  1985     1265.740000
    15     4  1985     1141.550000
    16     4  1985     1065.820000
    17     4  1985      962.345000
    18     4  1985      883.200000
    19     4  1985      806.033000
    20     4  1985      751.198000
    21     4  1985      697.484000
    22     4  1985      664.498000
    23     4  1985      651.432000
    24     4  1985      638.441000
    25     4  1985      644.927000
    26     4  1985      677.638000
    27     4  1985      757.992000
    28     4  1985      883.200000
    29     4  1985     1013.710000
    30     4  1985     1179.970000
     1     5  1985     1337.190000
     2     5  1985     1434.170000
     3     5  1985     1483.380000
     4     5  1985     1508.160000
     5     5  1985     1533.060000
     6     5  1985     1633.800000
     7     5  1985     1907.060000
     8     5  1985     2128.520000
     9     5  1985     2500.280000
    10     5  1985     2895.800000
    11     5  1985     3149.830000
    12     5  1985     3335.830000
    13     5  1985     3513.800000
    14     5  1985     3524.330000
    15     5  1985     3608.900000
    16     5  1985     3672.640000
    17     5  1985     3736.640000
    18     5  1985     3854.660000
    19     5  1985     4158.950000
    20     5  1985     4435.210000
    21     5  1985     4602.970000
    22     5  1985     4681.770000
    23     5  1985     4693.050000
    24     5  1985     4749.560000
    25     5  1985     4783.540000
    26     5  1985     4828.940000
    27     5  1985     4954.310000
    28     5  1985     5195.770000
    29     5  1985     5439.930000
    30     5  1985     5580.640000
    31     5  1985     5793.300000
     1     6  1985     5936.110000
     2     6  1985     6127.820000
     3     6  1985     6650.090000
     4     6  1985     7082.570000
     5     6  1985     7294.960000
     6     6  1985     7433.170000
     7     6  1985     7534.080000
     8     6  1985     7889.790000
     9     6  1985     8171.990000
    10     6  1985     8365.750000
    11     6  1985     8404.630000
    12     6  1985     8391.670000
    13     6  1985     8352.800000
    14     6  1985     8352.800000
    15     6  1985     8313.980000
    16     6  1985     8301.050000
    17     6  1985     8313.980000
    18     6  1985     8339.850000
    19     6  1985     8326.910000
    20     6  1985     8352.800000
    21     6  1985     8352.800000
    22     6  1985     8339.850000
    23     6  1985     8365.750000
    24     6  1985     8365.750000
    25     6  1985     8339.850000
    26     6  1985     8365.750000
    27     6  1985     8352.800000
    28     6  1985     8339.850000
    29     6  1985     8352.800000
    30     6  1985     8365.750000
     1     7  1985     8365.750000
     2     7  1985     8339.850000
     3     7  1985     8301.050000
     4     7  1985     8236.460000
     5     7  1985     8159.120000
     6     7  1985     8081.950000
     7     7  1985     7992.140000
     8     7  1985     7877.020000
     9     7  1985     7736.870000
    10     7  1985     7635.310000
    11     7  1985     7496.200000
    12     7  1985     7357.710000
    13     7  1985     7257.370000
    14     7  1985     7144.880000
    15     7  1985     7082.570000
    16     7  1985     7057.690000
    17     7  1985     7095.030000
    18     7  1985     7144.880000
    19     7  1985     7207.320000
    20     7  1985     7269.890000
    21     7  1985     7370.270000
    22     7  1985     7496.200000
    23     7  1985     7622.640000
