FAZENDAPASSARÃO	-60.571	3.208
     3    10  1984      909.229000
     4    10  1984     1018.290000
     5    10  1984     1153.600000
     6    10  1984     1263.980000
     7    10  1984     1269.870000
     8    10  1984     1269.870000
     9    10  1984     1275.760000
    10    10  1984     1228.820000
    11    10  1984     1142.150000
    12    10  1984     1079.720000
    13    10  1984     1057.270000
    14    10  1984     1040.520000
    15    10  1984     1034.950000
    16    10  1984     1023.840000
    17    10  1984     1001.720000
    18    10  1984     1023.840000
    19    10  1984     1074.100000
    20    10  1984     1113.650000
    21    10  1984     1085.360000
    22    10  1984     1062.870000
    23    10  1984     1034.950000
    24    10  1984     1012.760000
    25    10  1984      985.214000
    26    10  1984      930.765000
    27    10  1984      829.741000
    28    10  1984      757.419000
    29    10  1984      732.041000
    30    10  1984      793.350000
    31    10  1984     1062.870000
     1    11  1984     1182.370000
     2    11  1984     1317.930000
     3    11  1984     1573.680000
     4    11  1984     1414.540000
     5    11  1984     1287.570000
     6    11  1984     1258.100000
     7    11  1984     1275.760000
     8    11  1984     1337.070000
     9    11  1984     1540.070000
    10    11  1984     1675.900000
    11    11  1984     1787.230000
    12    11  1984     1745.210000
    13    11  1984     1682.790000
    14    11  1984     1738.240000
    15    11  1984     1780.200000
    16    11  1984     1759.180000
    17    11  1984     1710.440000
    18    11  1984     1696.600000
    19    11  1984     1607.520000
    20    11  1984     1621.120000
    21    11  1984     1648.440000
    22    11  1984     1587.190000
    23    11  1984     1299.420000
    24    11  1984     1252.230000
    25    11  1984     1159.340000
    26    11  1984     1119.330000
    27    11  1984     1057.270000
    28    11  1984      996.207000
    29    11  1984      893.170000
    30    11  1984      845.476000
     1    12  1984      845.476000
     2    12  1984      840.222000
     3    12  1984      829.741000
     4    12  1984      824.515000
     5    12  1984      819.297000
     6    12  1984      808.890000
     7    12  1984      803.701000
     8    12  1984      793.350000
     9    12  1984      808.890000
    10    12  1984      793.350000
    11    12  1984      777.894000
    12    12  1984      814.089000
    13    12  1984      829.741000
    14    12  1984      840.222000
    15    12  1984      803.701000
    16    12  1984      757.419000
    17    12  1984      701.908000
    18    12  1984      657.380000
    19    12  1984      657.380000
    20    12  1984      652.483000
    21    12  1984      662.288000
    22    12  1984      662.288000
    23    12  1984      742.163000
    24    12  1984      861.293000
