GUAJARÁ-MIRIM	-65.348	-10.793
    12     8  1984     2618.980000
    13     8  1984     2507.350000
    14     8  1984     2452.750000
    15     8  1984     2372.330000
    16     8  1984     2319.720000
    17     8  1984     2293.700000
    18     8  1984     2345.930000
    19     8  1984     2398.940000
    20     8  1984     2452.750000
    21     8  1984     2452.750000
    22     8  1984     2452.750000
    23     8  1984     2398.940000
    24     8  1984     2372.330000
    25     8  1984     2306.680000
    26     8  1984     2166.540000
    27     8  1984     2092.540000
    28     8  1984     2044.160000
    29     8  1984     1973.000000
    30     8  1984     1903.510000
    31     8  1984     1835.670000
     1     9  1984     1769.460000
     2     9  1984     1726.210000
     3     9  1984     1726.210000
     4     9  1984     1747.750000
     5     9  1984     1780.380000
     6     9  1984     1802.360000
     7     9  1984     1858.100000
     8     9  1984     1892.090000
     9     9  1984     1858.100000
    10     9  1984     1846.860000
    11     9  1984     1802.360000
    12     9  1984     1747.750000
    13     9  1984     1683.680000
    14     9  1984     1621.200000
    15     9  1984     1580.420000
    16     9  1984     1540.320000
    17     9  1984     1491.170000
    18     9  1984     1443.070000
    19     9  1984     1377.490000
    20     9  1984     1331.880000
    21     9  1984     1313.920000
    22     9  1984     1305.000000
    23     9  1984     1296.120000
    24     9  1984     1261.020000
    25     9  1984     1252.340000
    26     9  1984     1243.700000
    27     9  1984     1218.030000
    28     9  1984     1201.110000
    29     9  1984     1192.720000
    30     9  1984     1184.350000
     1    10  1984     1176.030000
     2    10  1984     1159.510000
     3    10  1984     1151.310000
     4    10  1984     1151.310000
     5    10  1984     1151.310000
     6    10  1984     1151.310000
     7    10  1984     1159.510000
     8    10  1984     1176.030000
     9    10  1984     1209.550000
    10    10  1984     1243.700000
    11    10  1984     1278.490000
    12    10  1984     1296.120000
    13    10  1984     1261.020000
    14    10  1984     1243.700000
    15    10  1984     1226.550000
    16    10  1984     1209.550000
    17    10  1984     1192.720000
    18    10  1984     1176.030000
    19    10  1984     1159.510000
    20    10  1984     1135.010000
    21    10  1984     1110.860000
    22    10  1984     1110.860000
    23    10  1984     1126.930000
    24    10  1984     1126.930000
    25    10  1984     1143.140000
    26    10  1984     1176.030000
    27    10  1984     1218.030000
    28    10  1984     1243.700000
    29    10  1984     1313.920000
    30    10  1984     1386.730000
    31    10  1984     1462.180000
     1    11  1984     1540.320000
     2    11  1984     1641.850000
     3    11  1984     1747.750000
     4    11  1984     1858.100000
     5    11  1984     1961.300000
     6    11  1984     2020.260000
     7    11  1984     2117.020000
     8    11  1984     2191.580000
     9    11  1984     2319.720000
    10    11  1984     2562.760000
    11    11  1984     2852.080000
    12    11  1984     3135.170000
    13    11  1984     3466.030000
    14    11  1984     3771.160000
    15    11  1984     4086.490000
    16    11  1984     4411.860000
    17    11  1984     4662.390000
    18    11  1984     4961.630000
    19    11  1984     5268.250000
    20    11  1984     5491.750000
    21    11  1984     5718.950000
    22    11  1984     5880.170000
    23    11  1984     5949.810000
    24    11  1984     6019.780000
    25    11  1984     6090.070000
    26    11  1984     6137.120000
    27    11  1984     6184.310000
    28    11  1984     6279.120000
    29    11  1984     6326.740000
    30    11  1984     6422.420000
     1    12  1984     6548.720000
     2    12  1984     6601.890000
     3    12  1984     6708.760000
     4    12  1984     6924.560000
     5    12  1984     7088.230000
     6    12  1984     7253.430000
     7    12  1984     7364.420000
     8    12  1984     7560.280000
     9    12  1984     7701.450000
    10    12  1984     7872.250000
    11    12  1984     8015.740000
    12    12  1984     8189.300000
    13    12  1984     8305.840000
    14    12  1984     8452.450000
    15    12  1984     8570.490000
    16    12  1984     8600.100000
    17    12  1984     8718.960000
    18    12  1984     8838.470000
    19    12  1984     8928.540000
    20    12  1984     8988.790000
    21    12  1984     9140.140000
    22    12  1984     9292.500000
    23    12  1984     9476.670000
    24    12  1984     9600.270000
    25    12  1984     9662.310000
    26    12  1984     9786.870000
    27    12  1984     9849.390000
    28    12  1984     9943.480000
    29    12  1984    10037.900000
    30    12  1984    10101.100000
    31    12  1984    10132.700000
     1     1  1985    10164.400000
     2     1  1985    10323.400000
     3     1  1985    10419.300000
     4     1  1985    10483.400000
     5     1  1985    10579.900000
     6     1  1985    10612.200000
     7     1  1985    10741.500000
     8     1  1985    10806.400000
     9     1  1985    10936.700000
    10     1  1985    11002.100000
    11     1  1985    11133.400000
    12     1  1985    11265.200000
    13     1  1985    11331.400000
    14     1  1985    11464.200000
    15     1  1985    11497.500000
    16     1  1985    11530.900000
    17     1  1985    11664.600000
    18     1  1985    11832.700000
    19     1  1985    12069.600000
    20     1  1985    12205.800000
    21     1  1985    12274.200000
    22     1  1985    12411.300000
    23     1  1985    12514.600000
    24     1  1985    12618.200000
    25     1  1985    12756.900000
    26     1  1985    12756.900000
    27     1  1985    12826.500000
    28     1  1985    12966.100000
    29     1  1985    13001.100000
    30     1  1985    13036.200000
    31     1  1985    13071.200000
     1     2  1985    13106.300000
     2     2  1985    13106.300000
     3     2  1985    13176.700000
     4     2  1985    13211.900000
     5     2  1985    13247.200000
     6     2  1985    13282.500000
     7     2  1985    13353.200000
     8     2  1985    13459.600000
     9     2  1985    13495.100000
    10     2  1985    13530.700000
    11     2  1985    13601.900000
