MANACAPURU	-60.609	-3.308
    27    11  1984    69103.000000
    28    11  1984    68852.700000
    29    11  1984    68665.200000
    30    11  1984    68415.500000
     1    12  1984    68228.400000
     2    12  1984    68103.800000
     3    12  1984    67979.300000
     4    12  1984    68228.400000
     5    12  1984    68540.300000
     6    12  1984    68790.200000
     7    12  1984    69165.700000
     8    12  1984    69604.700000
     9    12  1984    70107.800000
    10    12  1984    70612.300000
    11    12  1984    71244.800000
    12    12  1984    72006.800000
    13    12  1984    72707.900000
    14    12  1984    73411.700000
    15    12  1984    74053.700000
    16    12  1984    74697.900000
    17    12  1984    75344.200000
    18    12  1984    75992.700000
    19    12  1984    76643.300000
    20    12  1984    77296.000000
    21    12  1984    77819.800000
    22    12  1984    78476.300000
    23    12  1984    79003.100000
    24    12  1984    79795.800000
    25    12  1984    80392.300000
    26    12  1984    80990.500000
    27    12  1984    81523.700000
    28    12  1984    82058.200000
    29    12  1984    82728.200000
    30    12  1984    83333.100000
    31    12  1984    83804.600000
     1     1  1985    84480.100000
     2     1  1985    85089.800000
     3     1  1985    85565.200000
     4     1  1985    86041.600000
     5     1  1985    86519.000000
     6     1  1985    87065.800000
     7     1  1985    87476.800000
     8     1  1985    88094.700000
     9     1  1985    88576.500000
    10     1  1985    89059.200000
    11     1  1985    89750.600000
    12     1  1985    90374.600000
    13     1  1985    91000.300000
    14     1  1985    91767.300000
    15     1  1985    92536.700000
    16     1  1985    93308.600000
    17     1  1985    93871.500000
    18     1  1985    94435.800000
    19     1  1985    95001.300000
    20     1  1985    95710.000000
    21     1  1985    96136.200000
    22     1  1985    96491.900000
    23     1  1985    96990.800000
    24     1  1985    97347.800000
    25     1  1985    97633.700000
    26     1  1985    97848.300000
    27     1  1985    97991.500000
    28     1  1985    97991.500000
    29     1  1985    98063.100000
    30     1  1985    97991.500000
    31     1  1985    97991.500000
     1     2  1985    97848.300000
     2     2  1985    97633.700000
     3     2  1985    97347.800000
     4     2  1985    97133.500000
     5     2  1985    96990.800000
     6     2  1985    96491.900000
     7     2  1985    96136.200000
     8     2  1985    95923.000000
     9     2  1985    95639.000000
    10     2  1985    95284.500000
    11     2  1985    95001.300000
    12     2  1985    94506.400000
    13     2  1985    94012.500000
    14     2  1985    93660.300000
    15     2  1985    93238.300000
    16     2  1985    92817.100000
    17     2  1985    92326.600000
    18     2  1985    91976.900000
    19     2  1985    91557.900000
    20     2  1985    91069.900000
    21     2  1985    90930.700000
    22     2  1985    90791.600000
    23     2  1985    90722.000000
    24     2  1985    90513.500000
    25     2  1985    90305.200000
    26     2  1985    90235.800000
    27     2  1985    90235.800000
    28     2  1985    90097.100000
     1     3  1985    89958.400000
     2     3  1985    89958.400000
     3     3  1985    89958.400000
     4     3  1985    89958.400000
     5     3  1985    90097.100000
     6     3  1985    90166.500000
     7     3  1985    90235.800000
     8     3  1985    90374.600000
     9     3  1985    90513.500000
    10     3  1985    90513.500000
    11     3  1985    90513.500000
    12     3  1985    90513.500000
    13     3  1985    90583.000000
    14     3  1985    90583.000000
    15     3  1985    90652.500000
    16     3  1985    90722.000000
    17     3  1985    90791.600000
    18     3  1985    90930.700000
    19     3  1985    91069.900000
    20     3  1985    91209.200000
    21     3  1985    91627.600000
    22     3  1985    92186.700000
    23     3  1985    92466.600000
    24     3  1985    92676.900000
    25     3  1985    92957.400000
    26     3  1985    93308.600000
    27     3  1985    93449.200000
    28     3  1985    93519.500000
    29     3  1985    93589.900000
    30     3  1985    93730.700000
    31     3  1985    94153.500000
     1     4  1985    94224.000000
     2     4  1985    94294.600000
     3     4  1985    94365.100000
     4     4  1985    94365.100000
     5     4  1985    94365.100000
     6     4  1985    94365.100000
     7     4  1985    94294.600000
     8     4  1985    94294.600000
     9     4  1985    94294.600000
    10     4  1985    94294.600000
    11     4  1985    94294.600000
    12     4  1985    94435.800000
    13     4  1985    94435.800000
    14     4  1985    94435.800000
    15     4  1985    94435.800000
    16     4  1985    94435.800000
    17     4  1985    94435.800000
    18     4  1985    94435.800000
    19     4  1985    94435.800000
    20     4  1985    94577.000000
    21     4  1985    94577.000000
    22     4  1985    94647.700000
    23     4  1985    94718.400000
    24     4  1985    94859.800000
    25     4  1985    95072.100000
    26     4  1985    95426.300000
    27     4  1985    95852.000000
    28     4  1985    95923.000000
    29     4  1985    95994.100000
    30     4  1985    96136.200000
     1     5  1985    96278.400000
     2     5  1985    96563.100000
     3     5  1985    96705.600000
     4     5  1985    96848.200000
     5     5  1985    97276.300000
     6     5  1985    97705.200000
     7     5  1985    97919.900000
     8     5  1985    98278.100000
     9     5  1985    98708.700000
