LÁBREA	-64.800	-7.252
     3    10  1984     1146.070000
     4    10  1984     1129.010000
     5    10  1984     1118.810000
     6    10  1984     1115.420000
     7    10  1984     1115.420000
     8    10  1984     1118.810000
     9    10  1984     1129.010000
    10    10  1984     1146.070000
    11    10  1984     1166.630000
    12    10  1984     1170.070000
    13    10  1984     1170.070000
    14    10  1984     1170.070000
    15    10  1984     1166.630000
    16    10  1984     1159.770000
    17    10  1984     1146.070000
    18    10  1984     1132.420000
    19    10  1984     1125.610000
    20    10  1984     1129.010000
    21    10  1984     1129.010000
    22    10  1984     1139.240000
    23    10  1984     1152.910000
    24    10  1984     1166.630000
    25    10  1984     1194.220000
    26    10  1984     1235.940000
    27    10  1984     1292.200000
    28    10  1984     1363.540000
    29    10  1984     1414.120000
    30    10  1984     1457.900000
    31    10  1984     1490.990000
     1    11  1984     1516.870000
     2    11  1984     1542.880000
     3    11  1984     1584.010000
     4    11  1984     1682.340000
     5    11  1984     1795.930000
     6    11  1984     1945.160000
     7    11  1984     2104.540000
     8    11  1984     2235.730000
     9    11  1984     2375.330000
    10    11  1984     2460.230000
    11    11  1984     2510.070000
    12    11  1984     2546.630000
    13    11  1984     2620.550000
    14    11  1984     2667.280000
    15    11  1984     2714.440000
    16    11  1984     2742.930000
    17    11  1984     2757.230000
    18    11  1984     2771.570000
    19    11  1984     2766.790000
    20    11  1984     2766.790000
    21    11  1984     2790.750000
    22    11  1984     2858.390000
    23    11  1984     2961.380000
    24    11  1984     3081.330000
    25    11  1984     3229.460000
    26    11  1984     3396.970000
    27    11  1984     3601.410000
    28    11  1984     3800.640000
    29    11  1984     4011.010000
    30    11  1984     4203.450000
     1    12  1984     4370.290000
     2    12  1984     4515.880000
     3    12  1984     4670.100000
     4    12  1984     4826.910000
     5    12  1984     4979.910000
     6    12  1984     5096.220000
     7    12  1984     5200.750000
     8    12  1984     5293.090000
     9    12  1984     5392.930000
    10    12  1984     5466.740000
    11    12  1984     5520.730000
    12    12  1984     5575.000000
    13    12  1984     5629.530000
    14    12  1984     5691.190000
    15    12  1984     5760.100000
    16    12  1984     5836.390000
    17    12  1984     5934.210000
    18    12  1984     6011.640000
    19    12  1984     6118.040000
    20    12  1984     6232.570000
    21    12  1984     6333.660000
    22    12  1984     6442.880000
    23    12  1984     6538.290000
    24    12  1984     6612.160000
    25    12  1984     6671.560000
    26    12  1984     6708.820000
    27    12  1984     6761.160000
    28    12  1984     6806.190000
    29    12  1984     6851.360000
    30    12  1984     6889.130000
    31    12  1984     6896.690000
     1     1  1985     6896.690000
     2     1  1985     6896.690000
     3     1  1985     6881.570000
     4     1  1985     6874.010000
     5     1  1985     6874.010000
     6     1  1985     6926.990000
     7     1  1985     6957.360000
     8     1  1985     6987.790000
     9     1  1985     7041.210000
    10     1  1985     7140.960000
    11     1  1985     7218.180000
    12     1  1985     7280.240000
    13     1  1985     7358.210000
    14     1  1985     7483.820000
    15     1  1985     7594.600000
    16     1  1985     7706.200000
    17     1  1985     7850.890000
    18     1  1985     7980.640000
    19     1  1985     8111.460000
    20     1  1985     8226.800000
    21     1  1985     8359.620000
    22     1  1985     8501.910000
    23     1  1985     8696.350000
    24     1  1985     8841.480000
    25     1  1985     8918.810000
    26     1  1985     9005.120000
    27     1  1985     9083.160000
    28     1  1985     9152.810000
    29     1  1985     9213.980000
    30     1  1985     9266.560000
    31     1  1985     9301.710000
     1     2  1985     9336.920000
     2     2  1985     9372.200000
     3     2  1985     9407.540000
     4     2  1985     9416.390000
     5     2  1985     9442.950000
     6     2  1985     9460.680000
     7     2  1985     9513.970000
     8     2  1985     9531.770000
     9     2  1985     9549.580000
    10     2  1985     9567.410000
    11     2  1985     9585.260000
    12     2  1985     9585.260000
    13     2  1985     9585.260000
    14     2  1985     9585.260000
    15     2  1985     9585.260000
    16     2  1985     9576.340000
    17     2  1985     9558.500000
    18     2  1985     9549.580000
    19     2  1985     9531.770000
    20     2  1985     9505.080000
    21     2  1985     9496.190000
    22     2  1985     9496.190000
    23     2  1985     9496.190000
    24     2  1985     9469.550000
    25     2  1985     9451.810000
    26     2  1985     9442.950000
    27     2  1985     9425.240000
    28     2  1985     9407.540000
     1     3  1985     9407.540000
     2     3  1985     9407.540000
     3     3  1985     9442.950000
     4     3  1985     9496.190000
     5     3  1985     9531.770000
     6     3  1985     9549.580000
     7     3  1985     9567.410000
     8     3  1985     9603.120000
     9     3  1985     9638.900000
    10     3  1985     9683.720000
    11     3  1985     9710.660000
    12     3  1985     9764.650000
    13     3  1985     9800.730000
    14     3  1985     9836.880000
    15     3  1985     9891.220000
    16     3  1985     9918.450000
    17     3  1985     9991.250000
    18     3  1985    10027.700000
    19     3  1985    10091.800000
    20     3  1985    10156.000000
    21     3  1985    10192.800000
    22     3  1985    10202.000000
    23     3  1985    10211.200000
    24     3  1985    10211.200000
    25     3  1985    10220.500000
    26     3  1985    10238.900000
    27     3  1985    10279.700000
    28     3  1985    10348.200000
    29     3  1985    10416.900000
    30     3  1985    10439.900000
    31     3  1985    10462.900000
