FAZENDACAJUPIRANGA	-61.037	3.438
    30     8  1984     1191.540000
    31     8  1984     1210.760000
     1     9  1984     1302.030000
     2     9  1984     1302.030000
     3     9  1984     1457.660000
     4     9  1984     1513.420000
     5     9  1984     1797.010000
     6     9  1984     2188.360000
     7     9  1984     2115.670000
     8     9  1984     1926.620000
     9     9  1984     1781.990000
    10     9  1984     1781.990000
    11     9  1984     1888.130000
    12     9  1984     2004.530000
    13     9  1984     1842.340000
    14     9  1984     1737.260000
    15     9  1984     1541.610000
    16     9  1984     1375.590000
    17     9  1984     1269.130000
    18     9  1984     1178.800000
    19     9  1984     1134.640000
    20     9  1984     1128.380000
    21     9  1984     1072.720000
    22     9  1984     1048.340000
    23     9  1984     1054.410000
    24     9  1984     1048.340000
    25     9  1984     1030.200000
    26     9  1984      982.445000
    27     9  1984      964.772000
    28     9  1984      918.269000
    29     9  1984      872.685000
    30     9  1984      850.240000
     1    10  1984      844.666000
     2    10  1984      855.830000
     3    10  1984      878.332000
     4    10  1984      929.809000
     5    10  1984      994.299000
     6    10  1984      994.299000
     7    10  1984      958.909000
     8    10  1984      929.809000
     9    10  1984      906.786000
    10    10  1984      935.600000
    11    10  1984      895.361000
    12    10  1984      964.772000
    13    10  1984      935.600000
    14    10  1984      935.600000
    15    10  1984      912.521000
    16    10  1984      889.671000
    17    10  1984      867.052000
    18    10  1984      833.560000
    19    10  1984      828.029000
    20    10  1984      867.052000
    21    10  1984      872.685000
    22    10  1984      872.685000
    23    10  1984      844.666000
    24    10  1984      795.153000
    25    10  1984      736.265000
    26    10  1984      638.847000
    27    10  1984      633.873000
    28    10  1984      633.873000
    29    10  1984      643.837000
    30    10  1984      757.470000
    31    10  1984      839.106000
     1    11  1984      811.525000
     2    11  1984      883.994000
     3    11  1984      833.560000
     4    11  1984      872.685000
     5    11  1984      947.226000
     6    11  1984     1153.480000
     7    11  1984     1060.500000
     8    11  1984     1006.210000
     9    11  1984     1243.050000
    10    11  1984     1562.880000
