THAUMATURGO	-72.795	-8.946
    31     7  1984       31.190000
     1     8  1984       30.060000
     2     8  1984       31.190000
     3     8  1984       32.340000
     4     8  1984       32.340000
     5     8  1984       32.920000
     6     8  1984       33.500000
     7     8  1984       32.920000
     8     8  1984       31.760000
     9     8  1984       32.920000
    10     8  1984       32.340000
    11     8  1984       31.760000
    12     8  1984       34.090000
    13     8  1984       33.500000
    14     8  1984       32.340000
    15     8  1984       32.920000
    16     8  1984       32.920000
    17     8  1984       32.920000
    18     8  1984       34.090000
    19     8  1984       35.280000
    20     8  1984       38.320000
    21     8  1984       32.340000
    22     8  1984       30.620000
    23     8  1984       33.500000
    24     8  1984       35.280000
    25     8  1984       38.320000
    26     8  1984       70.200000
    27     8  1984       75.030000
    28     8  1984       85.950000
    29     8  1984       92.080000
    30     8  1984       72.600000
    31     8  1984       56.510000
     1     9  1984       35.880000
     2     9  1984       31.190000
     3     9  1984       33.500000
     4     9  1984       39.570000
     5     9  1984       42.110000
     6     9  1984       42.110000
     7     9  1984       37.710000
     8     9  1984       43.410000
     9     9  1984       43.410000
    10     9  1984       40.200000
    11     9  1984       38.320000
    12     9  1984       37.710000
    13     9  1984       30.620000
    14     9  1984       37.710000
    15     9  1984       30.620000
    16     9  1984       34.680000
    17     9  1984       38.320000
    18     9  1984       41.470000
    19     9  1984       43.410000
    20     9  1984       46.050000
    21     9  1984       46.050000
    22     9  1984       48.070000
    23     9  1984       48.750000
    24     9  1984       34.680000
    25     9  1984       33.500000
    26     9  1984       37.090000
    27     9  1984       36.490000
    28     9  1984       39.570000
    29     9  1984       38.320000
    30     9  1984       35.880000
     1    10  1984       35.280000
     2    10  1984       35.280000
     3    10  1984       40.840000
     4    10  1984       42.110000
     5    10  1984       46.050000
     6    10  1984       38.320000
     7    10  1984       40.200000
     8    10  1984       48.750000
     9    10  1984       37.710000
    10    10  1984       48.750000
    11    10  1984       67.050000
    12    10  1984       71.800000
    13    10  1984       82.530000
    14    10  1984       70.200000
    15    10  1984       64.730000
    16    10  1984       57.970000
    17    10  1984       55.790000
    18    10  1984       71.800000
    19    10  1984       87.680000
    20    10  1984      103.910000
    21    10  1984       68.620000
    22    10  1984       55.790000
    23    10  1984       73.410000
    24    10  1984       88.550000
    25    10  1984      191.540000
    26    10  1984      207.400000
    27    10  1984      184.400000
    28    10  1984      139.690000
    29    10  1984      151.480000
    30    10  1984      109.570000
    31    10  1984       97.470000
     1    11  1984      246.300000
     2    11  1984      489.260000
     3    11  1984      420.360000
     4    11  1984      266.210000
     5    11  1984      200.020000
     6    11  1984      260.010000
     7    11  1984      301.450000
     8    11  1984      266.210000
     9    11  1984      318.100000
    10    11  1984      323.170000
    11    11  1984      272.480000
    12    11  1984      187.960000
    13    11  1984      269.340000
