JATUARANA	-59.678	-3.052
    19     2  1985   114782.000000
    20     2  1985   114350.000000
    21     2  1985   114178.000000
    22     2  1985   114006.000000
    23     2  1985   113749.000000
    24     2  1985   113577.000000
    25     2  1985   113320.000000
    26     2  1985   113063.000000
    27     2  1985   112807.000000
    28     2  1985   112807.000000
     1     3  1985   112636.000000
     2     3  1985   112551.000000
     3     3  1985   112551.000000
     4     3  1985   112636.000000
     5     3  1985   112722.000000
     6     3  1985   112722.000000
     7     3  1985   112807.000000
     8     3  1985   112892.000000
     9     3  1985   112978.000000
    10     3  1985   112978.000000
    11     3  1985   113063.000000
    12     3  1985   113063.000000
    13     3  1985   113063.000000
    14     3  1985   113063.000000
    15     3  1985   113063.000000
    16     3  1985   113063.000000
    17     3  1985   113063.000000
    18     3  1985   113063.000000
    19     3  1985   113149.000000
    20     3  1985   113320.000000
    21     3  1985   113491.000000
    22     3  1985   113749.000000
    23     3  1985   114178.000000
    24     3  1985   114523.000000
    25     3  1985   114695.000000
    26     3  1985   115041.000000
    27     3  1985   115214.000000
    28     3  1985   115387.000000
    29     3  1985   115560.000000
    30     3  1985   115734.000000
    31     3  1985   115908.000000
     1     4  1985   116082.000000
     2     4  1985   116169.000000
     3     4  1985   116343.000000
     4     4  1985   116430.000000
     5     4  1985   116430.000000
     6     4  1985   116430.000000
     7     4  1985   116430.000000
     8     4  1985   116430.000000
     9     4  1985   116430.000000
    10     4  1985   116430.000000
    11     4  1985   116430.000000
    12     4  1985   116430.000000
    13     4  1985   116430.000000
    14     4  1985   116430.000000
    15     4  1985   116430.000000
    16     4  1985   116430.000000
    17     4  1985   116430.000000
    18     4  1985   116343.000000
    19     4  1985   116169.000000
    20     4  1985   116169.000000
    21     4  1985   116169.000000
    22     4  1985   116169.000000
    23     4  1985   116169.000000
    24     4  1985   116169.000000
    25     4  1985   116256.000000
    26     4  1985   116692.000000
    27     4  1985   117041.000000
    28     4  1985   117391.000000
    29     4  1985   117567.000000
    30     4  1985   117304.000000
     1     5  1985   117304.000000
     2     5  1985   117479.000000
     3     5  1985   117742.000000
     4     5  1985   117918.000000
     5     5  1985   118446.000000
     6     5  1985   118799.000000
     7     5  1985   119279.000000
     8     5  1985   119699.000000
     9     5  1985   120436.000000
    10     5  1985   121176.000000
    11     5  1985   121812.000000
    12     5  1985   122451.000000
    13     5  1985   123521.000000
    14     5  1985   124166.000000
    15     5  1985   124705.000000
    16     5  1985   125137.000000
    17     5  1985   125571.000000
    18     5  1985   126223.000000
    19     5  1985   126986.000000
    20     5  1985   127643.000000
    21     5  1985   128302.000000
    22     5  1985   128963.000000
    23     5  1985   129738.000000
    24     5  1985   130071.000000
    25     5  1985   130404.000000
    26     5  1985   130961.000000
    27     5  1985   131184.000000
    28     5  1985   131631.000000
    29     5  1985   132192.000000
    30     5  1985   132529.000000
    31     5  1985   132979.000000
     1     6  1985   133205.000000
     2     6  1985   133430.000000
     3     6  1985   133883.000000
     4     6  1985   134336.000000
     5     6  1985   134790.000000
     6     6  1985   135246.000000
     7     6  1985   135474.000000
     8     6  1985   135931.000000
     9     6  1985   136389.000000
    10     6  1985   137078.000000
    11     6  1985   137538.000000
    12     6  1985   137769.000000
    13     6  1985   138115.000000
    14     6  1985   138578.000000
    15     6  1985   139158.000000
    16     6  1985   139390.000000
    17     6  1985   139623.000000
    18     6  1985   140089.000000
    19     6  1985   140908.000000
    20     6  1985   141494.000000
    21     6  1985   141964.000000
    22     6  1985   142436.000000
    23     6  1985   142908.000000
    24     6  1985   143382.000000
    25     6  1985   143856.000000
    26     6  1985   144094.000000
    27     6  1985   143975.000000
    28     6  1985   143975.000000
    29     6  1985   143856.000000
    30     6  1985   143619.000000
     1     7  1985   143619.000000
     2     7  1985   143500.000000
     3     7  1985   143382.000000
     4     7  1985   143263.000000
     5     7  1985   143145.000000
     6     7  1985   142908.000000
     7     7  1985   142672.000000
     8     7  1985   142436.000000
     9     7  1985   142200.000000
    10     7  1985   141964.000000
    11     7  1985   141729.000000
    12     7  1985   141494.000000
    13     7  1985   141259.000000
    14     7  1985   141025.000000
    15     7  1985   140790.000000
    16     7  1985   140556.000000
    17     7  1985   140089.000000
    18     7  1985   139623.000000
    19     7  1985   139158.000000
    20     7  1985   138694.000000
    21     7  1985   138231.000000
    22     7  1985   137769.000000
    23     7  1985   137538.000000
    24     7  1985   137193.000000
    25     7  1985   136733.000000
    26     7  1985   136274.000000
    27     7  1985   135931.000000
    28     7  1985   135474.000000
    29     7  1985   135018.000000
    30     7  1985   134563.000000
    31     7  1985   134109.000000
