ASSISBRASIL	-69.550	-10.933
     6     6  1985       47.240000
     7     6  1985       33.050000
     8     6  1985       28.100000
     9     6  1985       30.520000
    10     6  1985       30.030000
    11     6  1985       27.620000
    12     6  1985       26.230000
    13     6  1985       23.550000
    14     6  1985       21.430000
    15     6  1985       20.210000
    16     6  1985       19.420000
    17     6  1985       18.640000
    18     6  1985       17.500000
    19     6  1985       16.040000
    20     6  1985       14.650000
    21     6  1985       11.750000
    22     6  1985       10.000000
    23     6  1985        8.650000
    24     6  1985        7.640000
    25     6  1985        6.920000
    26     6  1985        7.160000
    27     6  1985        8.650000
    28     6  1985        8.650000
    29     6  1985        8.390000
    30     6  1985        8.390000
     1     7  1985        7.880000
     2     7  1985        8.390000
     3     7  1985        7.880000
     4     7  1985        7.400000
     5     7  1985        7.400000
     6     7  1985        7.400000
     7     7  1985        7.880000
     8     7  1985       32.030000
     9     7  1985       15.690000
    10     7  1985       11.150000
    11     7  1985       13.320000
    12     7  1985       11.750000
    13     7  1985       10.560000
    14     7  1985        9.170000
    15     7  1985        6.690000
    16     7  1985        6.690000
    17     7  1985        7.880000
    18     7  1985        7.880000
    19     7  1985        8.390000
    20     7  1985        9.720000
    21     7  1985        8.650000
    22     7  1985        7.640000
    23     7  1985        7.400000
    24     7  1985        7.400000
    25     7  1985        7.400000
    26     7  1985        7.400000
    27     7  1985        7.400000
    28     7  1985        7.400000
    29     7  1985        6.920000
    30     7  1985        6.470000
    31     7  1985        6.250000
     1     8  1985        7.640000
     2     8  1985       11.450000
     3     8  1985       10.560000
     4     8  1985        8.650000
     5     8  1985        7.640000
     6     8  1985        6.920000
     7     8  1985        6.920000
     8     8  1985        6.470000
     9     8  1985        6.470000
    10     8  1985        6.470000
    11     8  1985        6.470000
    12     8  1985        6.470000
    13     8  1985        6.470000
    14     8  1985        6.030000
    15     8  1985        6.030000
    16     8  1985        6.030000
    17     8  1985        6.030000
    18     8  1985        6.030000
    19     8  1985        5.600000
    20     8  1985        7.400000
    21     8  1985        9.440000
    22     8  1985       45.400000
    23     8  1985       16.400000
    24     8  1985       12.060000
    25     8  1985        8.650000
    26     8  1985        7.160000
    27     8  1985        6.250000
    28     8  1985       12.680000
    29     8  1985       14.990000
    30     8  1985       10.560000
    31     8  1985        8.910000
     1     9  1985        7.640000
