EIRUNEPÉ-MONTANTE	-69.881	-6.684
    28     4  1985     3231.200000
    29     4  1985     3234.400000
    30     4  1985     3240.800000
     1     5  1985     3247.200000
     2     5  1985     3247.200000
     3     5  1985     3244.000000
     4     5  1985     3228.000000
     5     5  1985     3208.800000
     6     5  1985     3183.200000
     7     5  1985     3154.400000
     8     5  1985     3122.400000
     9     5  1985     3093.600000
    10     5  1985     3042.400000
    11     5  1985     3007.200000
    12     5  1985     2981.600000
    13     5  1985     2946.400000
    14     5  1985     2908.000000
    15     5  1985     2879.200000
    16     5  1985     2860.000000
    17     5  1985     2860.000000
    18     5  1985     2866.400000
    19     5  1985     2863.200000
    20     5  1985     2854.000000
    21     5  1985     2842.000000
    22     5  1985     2824.000000
    23     5  1985     2803.000000
    24     5  1985     2776.000000
    25     5  1985     2740.000000
    26     5  1985     2693.200000
    27     5  1985     2651.200000
    28     5  1985     2620.400000
    29     5  1985     2592.400000
    30     5  1985     2564.400000
    31     5  1985     2530.800000
     1     6  1985     2491.600000
     2     6  1985     2458.000000
     3     6  1985     2407.600000
     4     6  1985     2360.000000
     5     6  1985     2304.000000
     6     6  1985     2234.000000
     7     6  1985     2155.600000
     8     6  1985     2074.400000
     9     6  1985     1999.600000
    10     6  1985     1911.200000
    11     6  1985     1802.000000
    12     6  1985     1716.400000
    13     6  1985     1598.800000
    14     6  1985     1470.900000
    15     6  1985     1381.000000
    16     6  1985     1323.000000
    17     6  1985     1247.000000
    18     6  1985     1183.000000
    19     6  1985     1117.000000
    20     6  1985     1043.000000
    21     6  1985     1087.000000
    22     6  1985      951.000000
    23     6  1985      899.000000
    24     6  1985      853.200000
    25     6  1985      811.400000
    26     6  1985      784.800000
    27     6  1985      758.200000
    28     6  1985      739.200000
    29     6  1985      729.700000
    30     6  1985      722.100000
     1     7  1985      708.800000
     2     7  1985      701.400000
     3     7  1985      694.200000
     4     7  1985      690.600000
     5     7  1985      692.400000
     6     7  1985      699.600000
     7     7  1985      712.600000
     8     7  1985      731.600000
     9     7  1985      754.400000
    10     7  1985      763.900000
    11     7  1985      765.800000
