COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
    16     4  1985      954.550000
    17     4  1985      954.550000
    18     4  1985      954.550000
    19     4  1985      951.440000
    20     4  1985      946.790000
    21     4  1985      940.600000
    22     4  1985      934.420000
    23     4  1985      926.720000
    24     4  1985      917.510000
    25     4  1985      903.750000
    26     4  1985      893.110000
    27     4  1985      887.040000
    28     4  1985      880.990000
    29     4  1985      887.040000
    30     4  1985      896.140000
     1     5  1985      899.190000
     2     5  1985      896.140000
     3     5  1985      884.020000
     4     5  1985      874.960000
     5     5  1985      859.940000
     6     5  1985      842.030000
     7     5  1985      818.370000
     8     5  1985      786.220000
     9     5  1985      728.960000
    10     5  1985      652.760000
    11     5  1985      573.100000
    12     5  1985      515.810000
    13     5  1985      470.330000
    14     5  1985      434.560000
    15     5  1985      421.700000
    16     5  1985      391.850000
    17     5  1985      354.000000
    18     5  1985      343.130000
    19     5  1985      336.660000
    20     5  1985      338.810000
    21     5  1985      342.050000
    22     5  1985      347.460000
    23     5  1985      355.090000
    24     5  1985      396.390000
    25     5  1985      435.740000
    26     5  1985      439.270000
    27     5  1985      435.740000
    28     5  1985      427.530000
    29     5  1985      438.090000
    30     5  1985      445.190000
    31     5  1985      434.560000
     1     6  1985      406.680000
     2     6  1985      376.100000
     3     6  1985      366.090000
     4     6  1985      342.050000
     5     6  1985      317.540000
     6     6  1985      292.650000
     7     6  1985      266.520000
     8     6  1985      243.180000
     9     6  1985      215.090000
    10     6  1985      185.630000
    11     6  1985      167.700000
    12     6  1985      156.100000
    13     6  1985      144.010000
    14     6  1985      140.060000
    15     6  1985      133.050000
    16     6  1985      127.680000
    17     6  1985      126.160000
    18     6  1985      123.890000
    19     6  1985      126.160000
    20     6  1985      123.140000
    21     6  1985      118.660000
    22     6  1985      116.440000
    23     6  1985      124.650000
    24     6  1985      127.680000
    25     6  1985      136.930000
    26     6  1985      146.400000
    27     6  1985      154.470000
    28     6  1985      164.350000
    29     6  1985      154.470000
    30     6  1985      144.810000
     1     7  1985      146.400000
     2     7  1985      149.610000
     3     7  1985      146.400000
     4     7  1985      144.810000
     5     7  1985      154.470000
     6     7  1985      161.860000
     7     7  1985      166.020000
     8     7  1985      171.910000
     9     7  1985      167.700000
    10     7  1985      166.860000
    11     7  1985      245.100000
    12     7  1985      297.780000
    13     7  1985      288.580000
    14     7  1985      274.470000
    15     7  1985      252.810000
    16     7  1985      226.180000
    17     7  1985      226.180000
    18     7  1985      280.490000
    19     7  1985      334.520000
    20     7  1985      369.420000
    21     7  1985      349.640000
    22     7  1985      296.750000
    23     7  1985      254.760000
    24     7  1985      215.090000
    25     7  1985      182.160000
    26     7  1985      165.190000
    27     7  1985      154.470000
    28     7  1985      144.010000
    29     7  1985      130.740000
    30     7  1985      124.650000
    31     7  1985      135.370000
     1     8  1985      140.060000
     2     8  1985      152.850000
     3     8  1985      188.240000
     4     8  1985      221.530000
     5     8  1985      232.740000
     6     8  1985      228.050000
     7     8  1985      198.830000
     8     8  1985      172.750000
     9     8  1985      150.420000
    10     8  1985      157.740000
    11     8  1985      149.610000
    12     8  1985      139.280000
    13     8  1985      130.740000
    14     8  1985      118.660000
    15     8  1985      107.010000
    16     8  1985       98.550000
    17     8  1985       95.790000
    18     8  1985      107.010000
    19     8  1985      124.650000
    20     8  1985      146.400000
    21     8  1985      182.160000
    22     8  1985      217.840000
    23     8  1985      250.880000
    24     8  1985      253.790000
    25     8  1985      237.470000
    26     8  1985      225.250000
    27     8  1985      213.260000
    28     8  1985      177.010000
    29     8  1985      176.150000
    30     8  1985      188.240000
    31     8  1985      191.750000
     1     9  1985      179.580000
     2     9  1985      163.520000
     3     9  1985      151.230000
     4     9  1985      138.490000
     5     9  1985      120.150000
     6     9  1985      101.340000
     7     9  1985       86.340000
     8     9  1985       77.880000
     9     9  1985       75.340000
    10     9  1985       69.740000
    11     9  1985       62.510000
    12     9  1985       59.000000
    13     9  1985       55.000000
    14     9  1985       84.360000
    15     9  1985      152.850000
    16     9  1985      191.750000
    17     9  1985      216.920000
    18     9  1985      251.850000
    19     9  1985      260.620000
    20     9  1985      273.470000
    21     9  1985      293.680000
    22     9  1985      274.470000
    23     9  1985      266.520000
    24     9  1985      254.760000
    25     9  1985      244.140000
    26     9  1985      228.050000
    27     9  1985      216.920000
    28     9  1985      233.680000
    29     9  1985      245.100000
    30     9  1985      235.570000
     1    10  1985      204.200000
     2    10  1985      172.750000
     3    10  1985      124.650000
     4    10  1985       93.730000
     5    10  1985       90.350000
     6    10  1985       89.000000
     7    10  1985       95.790000
     8    10  1985      109.160000
     9    10  1985      127.680000
    10    10  1985      140.060000
    11    10  1985      155.290000
    12    10  1985      226.180000
    13    10  1985      226.180000
    14    10  1985      210.530000
    15    10  1985      189.120000
    16    10  1985      228.980000
    17    10  1985      250.880000
    18    10  1985      254.760000
    19    10  1985      245.100000
    20    10  1985      267.510000
    21    10  1985      264.550000
    22    10  1985      235.570000
    23    10  1985      222.460000
    24    10  1985      205.100000
    25    10  1985      209.620000
    26    10  1985      211.440000
    27    10  1985      262.580000
    28    10  1985      334.520000
    29    10  1985      369.420000
    30    10  1985      367.200000
    31    10  1985      347.460000
     1    11  1985      317.540000
     2    11  1985      286.550000
     3    11  1985      247.020000
     4    11  1985      198.830000
     5    11  1985      184.760000
     6    11  1985      198.830000
     7    11  1985      224.320000
     8    11  1985      248.950000
     9    11  1985      291.630000
    10    11  1985      325.990000
    11    11  1985      370.530000
    12    11  1985      396.390000
    13    11  1985      440.450000
    14    11  1985      593.980000
    15    11  1985      659.560000
    16    11  1985      671.870000
    17    11  1985      673.240000
    18    11  1985      681.500000
    19    11  1985      692.560000
    20    11  1985      700.900000
    21    11  1985      692.560000
    22    11  1985      656.840000
    23    11  1985      700.900000
    24    11  1985      754.530000
    25    11  1985      757.400000
    26    11  1985      748.820000
    27    11  1985      743.130000
    28    11  1985      740.280000
