SERINGALDACARIDADE	-68.577	-9.044
    18     7  1984      147.820000
    19     7  1984      143.380000
    20     7  1984      140.460000
    21     7  1984      136.130000
    22     7  1984      131.880000
    23     7  1984      133.290000
    24     7  1984      131.880000
    25     7  1984      136.130000
    26     7  1984      141.910000
    27     7  1984      152.330000
    28     7  1984      158.460000
    29     7  1984      161.570000
    30     7  1984      161.570000
    31     7  1984      156.920000
     1     8  1984      147.820000
     2     8  1984      134.710000
     3     8  1984      122.230000
     4     8  1984      115.570000
     5     8  1984      115.570000
     6     8  1984      118.210000
     7     8  1984      114.270000
     8     8  1984      102.840000
     9     8  1984       92.050000
    10     8  1984       87.450000
    11     8  1984       84.090000
    12     8  1984       84.090000
    13     8  1984       84.090000
    14     8  1984       84.090000
    15     8  1984       84.090000
    16     8  1984       82.980000
    17     8  1984       81.880000
    18     8  1984       81.880000
    19     8  1984       80.790000
    20     8  1984       78.630000
    21     8  1984       79.710000
    22     8  1984       81.880000
    23     8  1984       84.090000
    24     8  1984       84.090000
    25     8  1984       81.880000
    26     8  1984       81.880000
    27     8  1984       81.880000
    28     8  1984       81.880000
    29     8  1984       80.790000
    30     8  1984       79.710000
    31     8  1984       77.560000
     1     9  1984       77.560000
     2     9  1984       76.500000
     3     9  1984       77.560000
     4     9  1984       78.630000
     5     9  1984       79.710000
     6     9  1984       82.980000
     7     9  1984       89.740000
     8     9  1984       95.580000
     9     9  1984      101.610000
    10     9  1984      104.080000
    11     9  1984      100.390000
    12     9  1984       96.770000
    13     9  1984       90.890000
    14     9  1984       81.880000
    15     9  1984       79.710000
    16     9  1984       79.710000
    17     9  1984       79.710000
    18     9  1984       81.880000
    19     9  1984       86.320000
    20     9  1984       88.590000
    21     9  1984       93.220000
    22     9  1984      107.840000
    23     9  1984      114.270000
    24     9  1984      105.330000
    25     9  1984      102.840000
    26     9  1984      100.390000
    27     9  1984       97.970000
    28     9  1984      100.390000
    29     9  1984      115.570000
    30     9  1984      144.850000
     1    10  1984      172.710000
     2    10  1984      191.000000
     3    10  1984      197.890000
     4    10  1984      179.250000
     5    10  1984      143.380000
     6    10  1984      122.230000
     7    10  1984      118.210000
     8    10  1984      120.880000
     9    10  1984      124.950000
    10    10  1984      126.320000
    11    10  1984      127.700000
    12    10  1984      126.320000
    13    10  1984      123.590000
    14    10  1984      120.880000
    15    10  1984      123.590000
    16    10  1984      161.570000
    17    10  1984      219.090000
    18    10  1984      204.910000
    19    10  1984      169.490000
    20    10  1984      163.140000
    21    10  1984      214.910000
    22    10  1984      243.540000
    23    10  1984      242.060000
    24    10  1984      258.550000
    25    10  1984      278.780000
    26    10  1984      328.510000
    27    10  1984      360.410000
    28    10  1984      391.950000
    29    10  1984      467.500000
    30    10  1984      572.950000
    31    10  1984      718.010000
     1    11  1984      863.000000
     2    11  1984      854.420000
     3    11  1984     1003.310000
     4    11  1984      984.780000
     5    11  1984      918.390000
     6    11  1984      978.640000
     7    11  1984      883.200000
     8    11  1984      963.390000
     9    11  1984      921.350000
    10    11  1984      812.200000
    11    11  1984      997.110000
    12    11  1984     1105.180000
    13    11  1984     1009.520000
    14    11  1984      969.480000
    15    11  1984     1243.270000
    16    11  1984     1386.210000
    17    11  1984     1556.790000
    18    11  1984     1656.050000
    19    11  1984     1725.380000
    20    11  1984     1964.320000
    21    11  1984     2067.160000
    22    11  1984     2080.780000
    23    11  1984     2252.580000
    24    11  1984     2305.040000
    25    11  1984     2112.740000
    26    11  1984     2035.570000
    27    11  1984     2648.540000
    28    11  1984     3061.460000
    29    11  1984     3050.340000
    30    11  1984     2658.870000
     1    12  1984     2281.120000
     2    12  1984     2080.780000
     3    12  1984     1959.910000
     4    12  1984     1894.390000
     5    12  1984     1864.220000
     6    12  1984     1864.220000
     7    12  1984     1847.090000
     8    12  1984     2191.410000
     9    12  1984     2726.520000
    10    12  1984     3145.560000
    11    12  1984     3464.120000
    12    12  1984     3969.040000
    13    12  1984     4415.120000
    14    12  1984     4647.510000
    15    12  1984     4752.020000
    16    12  1984     4640.580000
    17    12  1984     4039.520000
    18    12  1984     3571.880000
    19    12  1984     3202.280000
    20    12  1984     2617.680000
    21    12  1984     2004.230000
    22    12  1984     1708.930000
    23    12  1984     1700.740000
    24    12  1984     1750.200000
    25    12  1984     1894.390000
    26    12  1984     2205.450000
    27    12  1984     2426.610000
    28    12  1984     2592.100000
    29    12  1984     2581.910000
    30    12  1984     3219.400000
    31    12  1984     3626.400000
     1     1  1985     3577.910000
     2     1  1985     3346.410000
     3     1  1985     2848.410000
     4     1  1985     2387.350000
     5     1  1985     2319.460000
     6     1  1985     2476.160000
     7     1  1985     2827.010000
     8     1  1985     3880.290000
     9     1  1985     5123.750000
    10     1  1985     5211.620000
    11     1  1985     5029.440000
    12     1  1985     4724.030000
    13     1  1985     4435.380000
    14     1  1985     4462.460000
    15     1  1985     4341.270000
    16     1  1985     4221.840000
    17     1  1985     4175.860000
    18     1  1985     3905.540000
    19     1  1985     3487.920000
    20     1  1985     3050.340000
    21     1  1985     2864.510000
    22     1  1985     2940.290000
    23     1  1985     2837.700000
    24     1  1985     2377.590000
    25     1  1985     1868.510000
    26     1  1985     1635.940000
    27     1  1985     1517.990000
    28     1  1985     1464.530000
    29     1  1985     1514.140000
    30     1  1985     1545.100000
    31     1  1985     1584.260000
     1     2  1985     1704.830000
     2     2  1985     1821.550000
     3     2  1985     1937.940000
     4     2  1985     1942.320000
     5     2  1985     1847.090000
     6     2  1985     1787.790000
     7     2  1985     1680.340000
     8     2  1985     1604.030000
     9     2  1985     1537.330000
    10     2  1985     1545.100000
    11     2  1985     1604.030000
    12     2  1985     1498.780000
    13     2  1985     1676.280000
    14     2  1985     1855.640000
    15     2  1985     2158.830000
    16     2  1985     1783.590000
    17     2  1985     1647.990000
    18     2  1985     1668.170000
    19     2  1985     1688.490000
    20     2  1985     1725.380000
    21     2  1985     1766.850000
    22     2  1985     1872.810000
    23     2  1985     2144.950000
    24     2  1985     2186.740000
    25     2  1985     2140.330000
    26     2  1985     2049.080000
    27     2  1985     1986.440000
    28     2  1985     1959.910000
     1     3  1985     1995.330000
     2     3  1985     2117.320000
     3     3  1985     2607.430000
     4     3  1985     3202.280000
     5     3  1985     3577.910000
     6     3  1985     3988.200000
     7     3  1985     4261.460000
     8     3  1985     4503.240000
     9     3  1985     4759.030000
    10     3  1985     4815.310000
    11     3  1985     4907.500000
    12     3  1985     5116.470000
    13     3  1985     5255.850000
    14     3  1985     5196.930000
    15     3  1985     4900.380000
    16     3  1985     4482.820000
    17     3  1985     4516.880000
    18     3  1985     4571.640000
    19     3  1985     4516.880000
    20     3  1985     4327.920000
    21     3  1985     3994.590000
    22     3  1985     3956.300000
    23     3  1985     3911.860000
    24     3  1985     3830.040000
    25     3  1985     3410.890000
    26     3  1985     2784.470000
    27     3  1985     2695.190000
    28     3  1985     2674.400000
    29     3  1985     2556.520000
    30     3  1985     2466.210000
    31     3  1985     2382.470000
     1     4  1985     2382.470000
     2     4  1985     3207.980000
     3     4  1985     3481.960000
     4     4  1985     3730.580000
     5     4  1985     4717.050000
     6     4  1985     5404.700000
     7     4  1985     5609.090000
     8     4  1985     5601.450000
     9     4  1985     5532.930000
    10     4  1985     5570.940000
    11     4  1985     5647.380000
    12     4  1985     5786.340000
    13     4  1985     5685.800000
    14     4  1985     5382.230000
    15     4  1985     4787.120000
    16     4  1985     4136.660000
    17     4  1985     4169.320000
    18     4  1985     4110.640000
    19     4  1985     4039.520000
    20     4  1985     3924.530000
    21     4  1985     3681.360000
    22     4  1985     3434.490000
    23     4  1985     3134.270000
    24     4  1985     3078.190000
    25     4  1985     3000.560000
    26     4  1985     2945.740000
    27     4  1985     2913.100000
    28     4  1985     2843.050000
    29     4  1985     2805.690000
    30     4  1985     2795.070000
     1     5  1985     2779.170000
     2     5  1985     2758.050000
     3     5  1985     2763.320000
     4     5  1985     2907.680000
     5     5  1985     2853.770000
     6     5  1985     2617.680000
     7     5  1985     1796.200000
     8     5  1985     1397.260000
     9     5  1985     1171.480000
    10     5  1985     1292.370000
    11     5  1985     1393.570000
    12     5  1985     1468.310000
    13     5  1985     1568.530000
    14     5  1985     1766.850000
    15     5  1985     1783.590000
    16     5  1985     1783.590000
    17     5  1985     1851.360000
    18     5  1985     1890.060000
    19     5  1985     1890.060000
    20     5  1985     1864.220000
    21     5  1985     1830.040000
    22     5  1985     1700.740000
    23     5  1985     1576.390000
    24     5  1985     1491.130000
    25     5  1985     1400.960000
    26     5  1985     1342.470000
    27     5  1985     1303.020000
    28     5  1985     1292.370000
    29     5  1985     1253.710000
    30     5  1985     1181.600000
    31     5  1985     1181.600000
     1     6  1985     1178.220000
     2     6  1985     1141.390000
     3     6  1985     1108.450000
     4     6  1985      990.930000
     5     6  1985      933.270000
     6     6  1985      880.300000
     7     6  1985      845.890000
     8     6  1985      809.420000
     9     6  1985      768.390000
    10     6  1985      699.900000
    11     6  1985      654.450000
    12     6  1985      617.790000
    13     6  1985      591.610000
    14     6  1985      572.950000
    15     6  1985      541.030000
    16     6  1985      529.870000
    17     6  1985      527.650000
    18     6  1985      505.730000
    19     6  1985      459.220000
    20     6  1985      417.020000
    21     6  1985      397.670000
    22     6  1985      382.530000
    23     6  1985      369.540000
    24     6  1985      349.600000
    25     6  1985      326.780000
    26     6  1985      304.770000
    27     6  1985      280.370000
    28     6  1985      255.510000
    29     6  1985      236.210000
    30     6  1985      214.910000
     1     7  1985      191.000000
     2     7  1985      175.960000
     3     7  1985      174.330000
     4     7  1985      177.600000
     5     7  1985      180.910000
     6     7  1985      174.330000
     7     7  1985      166.300000
     8     7  1985      161.570000
     9     7  1985      150.820000
    10     7  1985      144.850000
    11     7  1985      137.570000
    12     7  1985      131.880000
    13     7  1985      131.880000
    14     7  1985      137.570000
    15     7  1985      161.570000
    16     7  1985      169.490000
    17     7  1985      158.460000
    18     7  1985      158.460000
    19     7  1985      161.570000
    20     7  1985      156.920000
    21     7  1985      149.320000
    22     7  1985      140.460000
    23     7  1985      122.230000
    24     7  1985      112.970000
    25     7  1985      106.580000
    26     7  1985      114.270000
    27     7  1985      115.570000
    28     7  1985      118.210000
    29     7  1985      118.210000
    30     7  1985      111.670000
    31     7  1985      110.390000
     1     8  1985      110.390000
     2     8  1985      107.840000
     3     8  1985      101.610000
     4     8  1985       96.770000
     5     8  1985       93.220000
     6     8  1985       93.220000
     7     8  1985       96.770000
     8     8  1985      102.840000
     9     8  1985      114.270000
    10     8  1985      116.890000
    11     8  1985      111.670000
    12     8  1985      106.580000
    13     8  1985      101.610000
    14     8  1985       96.770000
    15     8  1985       95.580000
    16     8  1985       93.220000
    17     8  1985       99.180000
    18     8  1985      101.610000
    19     8  1985       96.770000
    20     8  1985       94.390000
    21     8  1985       90.890000
    22     8  1985       90.890000
    23     8  1985       86.320000
    24     8  1985       86.320000
    25     8  1985       89.740000
    26     8  1985       97.970000
    27     8  1985       96.770000
    28     8  1985       88.590000
    29     8  1985       88.590000
    30     8  1985       82.980000
    31     8  1985       84.090000
     1     9  1985       90.890000
     2     9  1985       94.390000
     3     9  1985      109.110000
     4     9  1985      102.840000
     5     9  1985      105.330000
     6     9  1985      102.840000
     7     9  1985      105.330000
     8     9  1985      112.970000
     9     9  1985      106.580000
    10     9  1985      101.610000
    11     9  1985       96.770000
    12     9  1985       95.580000
    13     9  1985       97.970000
    14     9  1985       99.180000
    15     9  1985       90.890000
    16     9  1985       85.200000
    17     9  1985       84.090000
    18     9  1985       81.880000
    19     9  1985       78.630000
    20     9  1985       75.450000
    21     9  1985       81.880000
    22     9  1985       93.220000
    23     9  1985      105.330000
    24     9  1985      114.270000
    25     9  1985      115.570000
    26     9  1985      112.970000
    27     9  1985      115.570000
    28     9  1985      118.210000
    29     9  1985      120.880000
    30     9  1985      134.710000
     1    10  1985      144.850000
     2    10  1985      158.460000
     3    10  1985      184.240000
     4    10  1985      217.690000
     5    10  1985      237.660000
     6    10  1985      249.490000
     7    10  1985      275.620000
     8    10  1985      296.520000
     9    10  1985      283.560000
    10    10  1985      280.370000
    11    10  1985      275.620000
    12    10  1985      267.790000
    13    10  1985      242.060000
    14    10  1985      226.140000
    15    10  1985      227.560000
    16    10  1985      231.860000
    17    10  1985      247.990000
    18    10  1985      319.930000
    19    10  1985      397.670000
    20    10  1985      415.060000
    21    10  1985      436.850000
    22    10  1985      459.220000
    23    10  1985      492.810000
    24    10  1985      430.850000
    25    10  1985      438.860000
    26    10  1985      473.770000
    27    10  1985      473.770000
