CAREIRO	-59.833	-3.196
    28     8  2001    14171.800000
    29     8  2001    13953.400000
    30     8  2001    13672.900000
    31     8  2001    13417.300000
     1     9  2001    13165.000000
     2     9  2001    12915.800000
     3     9  2001    12669.800000
     4     9  2001    12406.800000
     5     9  2001    12127.700000
     6     9  2001    11833.400000
     7     9  2001    11543.800000
     8     9  2001    11259.100000
     9     9  2001    10979.000000
    10     9  2001    10685.400000
    11     9  2001    10361.500000
    12     9  2001    10096.500000
    13     9  2001     9801.820000
    14     9  2001     9572.050000
    15     9  2001     9395.140000
    16     9  2001     9219.460000
    17     9  2001     9033.450000
    18     9  2001     8825.890000
    19     9  2001     8654.310000
    20     9  2001     8506.630000
    21     9  2001     8371.160000
    22     9  2001     8236.500000
    23     9  2001     8124.920000
    24     9  2001     7991.770000
    25     9  2001     7881.440000
    26     9  2001     7749.810000
    27     9  2001     7640.760000
    28     9  2001     7521.470000
    29     9  2001     7392.140000
    30     9  2001     7274.330000
     1    10  2001     7157.220000
     2    10  2001     7061.950000
     3    10  2001     6925.170000
     4    10  2001     6810.220000
     5    10  2001     6706.350000
     6    10  2001     6603.070000
     7    10  2001     6449.290000
     8    10  2001     6327.250000
     9    10  2001     6206.090000
    10    10  2001     6065.840000
    11    10  2001     5926.800000
    12    10  2001     5779.170000
    13    10  2001     5652.360000
    14    10  2001     5536.240000
    15    10  2001     5392.370000
    16    10  2001     5240.480000
    17    10  2001     5108.910000
    18    10  2001     4969.350000
    19    10  2001     4840.400000
    20    10  2001     4712.720000
    21    10  2001     4568.380000
    22    10  2001     4434.600000
    23    10  2001     4302.310000
    24    10  2001     4180.200000
    25    10  2001     4076.590000
    26    10  2001     3956.950000
    27    10  2001     3872.310000
    28    10  2001     3796.720000
    29    10  2001     3746.640000
    30    10  2001     3688.530000
    31    10  2001     3696.810000
     1    11  2001     3730.010000
     2    11  2001     3730.010000
     3    11  2001     3738.320000
     4    11  2001     3746.640000
     5    11  2001     3771.650000
     6    11  2001     3805.090000
     7    11  2001     3847.050000
     8    11  2001     3897.630000
     9    11  2001     3948.450000
    10    11  2001     3999.520000
    11    11  2001     4050.840000
    12    11  2001     4102.400000
    13    11  2001     4145.560000
    14    11  2001     4206.260000
    15    11  2001     4267.290000
    16    11  2001     4328.650000
    17    11  2001     4381.500000
    18    11  2001     4425.730000
    19    11  2001     4470.130000
    20    11  2001     4487.930000
    21    11  2001     4523.620000
    22    11  2001     4541.510000
    23    11  2001     4559.420000
    24    11  2001     4559.420000
    25    11  2001     4559.420000
    26    11  2001     4568.380000
    27    11  2001     4577.350000
    28    11  2001     4577.350000
    29    11  2001     4577.350000
    30    11  2001     4559.420000
     1    12  2001     4550.460000
     2    12  2001     4541.510000
     3    12  2001     4523.620000
     4    12  2001     4505.760000
     5    12  2001     4505.760000
     6    12  2001     4514.690000
     7    12  2001     4523.620000
     8    12  2001     4559.420000
     9    12  2001     4586.330000
    10    12  2001     4622.310000
    11    12  2001     4685.530000
    12    12  2001     4758.170000
    13    12  2001     4858.740000
    14    12  2001     4960.090000
    15    12  2001     5062.230000
    16    12  2001     5183.940000
    17    12  2001     5325.720000
    18    12  2001     5440.170000
    19    12  2001     5594.190000
    20    12  2001     5730.270000
    21    12  2001     5877.430000
    22    12  2001     6035.940000
    23    12  2001     6185.980000
    24    12  2001     6317.120000
    25    12  2001     6479.940000
    26    12  2001     6633.990000
    27    12  2001     6789.400000
    28    12  2001     6956.640000
    29    12  2001     7125.410000
    30    12  2001     7285.010000
    31    12  2001     7435.150000
     1     1  2002     7564.760000
     2     1  2002     7706.120000
     3     1  2002     7881.440000
     4     1  2002     8058.240000
     5     1  2002     8202.970000
     6     1  2002     8337.420000
     7     1  2002     8461.380000
     8     1  2002     8597.400000
     9     1  2002     8734.220000
    10     1  2002     8848.860000
    11     1  2002     8964.060000
    12     1  2002     9079.820000
    13     1  2002     9172.830000
    14     1  2002     9266.190000
    15     1  2002     9348.170000
    16     1  2002     9418.660000
    17     1  2002     9465.760000
    18     1  2002     9524.760000
    19     1  2002     9572.050000
    20     1  2002     9607.590000
    21     1  2002     9643.170000
    22     1  2002     9643.170000
    23     1  2002     9643.170000
    24     1  2002     9643.170000
    25     1  2002     9619.440000
    26     1  2002     9619.440000
    27     1  2002     9595.740000
    28     1  2002     9572.050000
    29     1  2002     9536.570000
    30     1  2002     9501.140000
    31     1  2002     9453.970000
     1     2  2002     9418.660000
     2     2  2002     9383.390000
     3     2  2002     9359.900000
     4     2  2002     9359.900000
     5     2  2002     9336.440000
     6     2  2002     9313.000000
     7     2  2002     9324.720000
     8     2  2002     9348.170000
     9     2  2002     9359.900000
    10     2  2002     9395.140000
    11     2  2002     9442.200000
    12     2  2002     9477.550000
    13     2  2002     9524.760000
    14     2  2002     9572.050000
    15     2  2002     9643.170000
    16     2  2002     9767.530000
