SANTOANTÔNIODOIÇÁ	-67.933	-3.083
     1     6  1984    78187.000000
     2     6  1984    78006.500000
     3     6  1984    77826.200000
     4     6  1984    77646.000000
     5     6  1984    77376.100000
     6     6  1984    76927.100000
     7     6  1984    76658.200000
     8     6  1984    76300.300000
     9     6  1984    75764.700000
    10     6  1984    75319.500000
    11     6  1984    74875.500000
    12     6  1984    74521.000000
    13     6  1984    74167.300000
    14     6  1984    73814.200000
    15     6  1984    73373.800000
    16     6  1984    72846.800000
    17     6  1984    72408.800000
    18     6  1984    72059.200000
    19     6  1984    71623.200000
    20     6  1984    71101.400000
    21     6  1984    70062.500000
    22     6  1984    69373.500000
    23     6  1984    68858.500000
    24     6  1984    68528.800000
    25     6  1984    68224.300000
    26     6  1984    68041.800000
    27     6  1984    67738.200000
    28     6  1984    67435.100000
    29     6  1984    67132.600000
    30     6  1984    66891.000000
     1     7  1984    66649.700000
     2     7  1984    66348.700000
     3     7  1984    66048.200000
     4     7  1984    65748.200000
     5     7  1984    65568.500000
     6     7  1984    65389.000000
     7     7  1984    65150.000000
     8     7  1984    64732.600000
     9     7  1984    64257.000000
    10     7  1984    64019.700000
    11     7  1984    63723.600000
    12     7  1984    63487.100000
    13     7  1984    63251.000000
    14     7  1984    63015.200000
    15     7  1984    62779.900000
    16     7  1984    62486.100000
    17     7  1984    62251.600000
    18     7  1984    61900.400000
    19     7  1984    61433.400000
    20     7  1984    60793.700000
    21     7  1984    60156.800000
    22     7  1984    59465.100000
    23     7  1984    58776.700000
    24     7  1984    58091.600000
    25     7  1984    57296.500000
    26     7  1984    56618.600000
    27     7  1984    55831.900000
    28     7  1984    55161.300000
    29     7  1984    54549.400000
    30     7  1984    54050.900000
    31     7  1984    53554.200000
     1     8  1984    52949.800000
     2     8  1984    52239.100000
     3     8  1984    51424.000000
     4     8  1984    50668.000000
     5     8  1984    49916.600000
     6     8  1984    48851.300000
     7     8  1984    47532.900000
     8     8  1984    45970.500000
     9     8  1984    44582.800000
    10     8  1984    43414.600000
    11     8  1984    42059.400000
    12     8  1984    40919.100000
    13     8  1984    39499.700000
    14     8  1984    38292.700000
    15     8  1984    37363.900000
    16     8  1984    36544.800000
    17     8  1984    36178.700000
    18     8  1984    36097.500000
    19     8  1984    36504.100000
    20     8  1984    37158.400000
    21     8  1984    37817.500000
    22     8  1984    38484.800000
    23     8  1984    39015.000000
    24     8  1984    39305.500000
    25     8  1984    39402.600000
    26     8  1984    39402.600000
    27     8  1984    39402.600000
    28     8  1984    39305.500000
    29     8  1984    39305.500000
    30     8  1984    39402.600000
    31     8  1984    39499.700000
     1     9  1984    39596.900000
     2     9  1984    39791.700000
     3     9  1984    39986.800000
     4     9  1984    40280.300000
     5     9  1984    40476.400000
     6     9  1984    40280.300000
     7     9  1984    40133.400000
     8     9  1984    39791.700000
     9     9  1984    39499.700000
    10     9  1984    39015.000000
    11     9  1984    38629.100000
    12     9  1984    38148.900000
    13     9  1984    37693.600000
    14     9  1984    37158.400000
    15     9  1984    36708.000000
    16     9  1984    36748.900000
    17     9  1984    36994.400000
    18     9  1984    37322.700000
    19     9  1984    37569.800000
