SÃOPAULODEOLIVENÇA	-68.750	-3.450
    10     3  1985    37367.400000
    11     3  1985    38270.400000
    12     3  1985    39234.800000
    13     3  1985    40357.700000
    14     3  1985    41551.000000
    15     3  1985    42523.200000
    16     3  1985    43511.200000
    17     3  1985    43961.000000
    18     3  1985    44212.300000
    19     3  1985    44464.600000
    20     3  1985    44717.900000
    21     3  1985    44768.700000
    22     3  1985    44717.900000
    23     3  1985    44616.500000
    24     3  1985    44414.100000
    25     3  1985    44212.300000
    26     3  1985    43760.700000
    27     3  1985    43411.700000
    28     3  1985    43114.100000
    29     3  1985    42719.600000
    30     3  1985    42523.200000
    31     3  1985    42229.900000
     1     4  1985    42035.100000
     2     4  1985    41792.600000
     3     4  1985    41647.500000
     4     4  1985    41551.000000
     5     4  1985    41551.000000
     6     4  1985    41938.000000
     7     4  1985    42181.100000
     8     4  1985    42621.300000
     9     4  1985    43213.200000
    10     4  1985    43710.700000
    11     4  1985    43810.700000
    12     4  1985    44061.400000
    13     4  1985    44515.200000
    14     4  1985    45329.900000
    15     4  1985    46051.300000
    16     4  1985    47148.300000
    17     4  1985    47783.400000
    18     4  1985    48156.500000
    19     4  1985    48585.500000
    20     4  1985    48909.000000
    21     4  1985    49125.400000
    22     4  1985    49233.900000
    23     4  1985    49397.000000
    24     4  1985    49669.600000
    25     4  1985    49888.400000
    26     4  1985    50107.900000
    27     4  1985    50217.900000
    28     4  1985    50328.100000
    29     4  1985    50438.400000
    30     4  1985    50548.900000
     1     5  1985    50659.600000
     2     5  1985    50770.500000
     3     5  1985    50937.100000
     4     5  1985    50992.700000
     5     5  1985    51104.000000
     6     5  1985    51159.800000
     7     5  1985    51159.800000
     8     5  1985    51104.000000
     9     5  1985    51048.300000
    10     5  1985    51104.000000
    11     5  1985    50937.100000
    12     5  1985    50659.600000
    13     5  1985    50383.300000
    14     5  1985    50107.900000
    15     5  1985    49669.600000
    16     5  1985    49342.600000
    17     5  1985    49125.400000
    18     5  1985    48801.000000
    19     5  1985    48478.000000
    20     5  1985    48263.500000
    21     5  1985    47996.300000
    22     5  1985    47624.000000
    23     5  1985    47412.200000
    24     5  1985    47306.500000
    25     5  1985    47148.300000
    26     5  1985    47043.100000
    27     5  1985    47043.100000
    28     5  1985    47306.500000
    29     5  1985    47624.000000
    30     5  1985    47943.000000
    31     5  1985    48263.500000
     1     6  1985    48531.700000
     2     6  1985    48909.000000
     3     6  1985    49451.400000
     4     6  1985    49778.900000
     5     6  1985    50107.900000
     6     6  1985    50328.100000
     7     6  1985    50548.900000
     8     6  1985    50548.900000
     9     6  1985    50383.300000
    10     6  1985    50053.000000
    11     6  1985    49888.400000
    12     6  1985    49669.600000
    13     6  1985    49071.300000
    14     6  1985    48370.700000
    15     6  1985    47730.200000
    16     6  1985    46990.500000
    17     6  1985    46310.900000
    18     6  1985    45586.600000
    19     6  1985    44921.300000
    20     6  1985    44061.400000
    21     6  1985    43312.400000
    22     6  1985    42425.300000
    23     6  1985    41599.200000
    24     6  1985    40404.900000
    25     6  1985    39793.500000
    26     6  1985    39420.400000
    27     6  1985    39281.200000
    28     6  1985    39513.400000
    29     6  1985    39934.000000
    30     6  1985    40310.400000
     1     7  1985    40689.400000
     2     7  1985    41358.400000
     3     7  1985    41358.400000
     4     7  1985    41262.400000
     5     7  1985    41166.500000
     6     7  1985    41262.400000
     7     7  1985    41358.400000
     8     7  1985    41358.400000
     9     7  1985    41310.400000
    10     7  1985    41262.400000
    11     7  1985    41166.500000
    12     7  1985    40975.200000
    13     7  1985    40784.500000
    14     7  1985    40689.400000
    15     7  1985    40499.600000
    16     7  1985    40594.400000
    17     7  1985    40594.400000
    18     7  1985    40736.900000
    19     7  1985    41070.700000
    20     7  1985    41358.400000
    21     7  1985    41647.500000
    22     7  1985    41841.000000
    23     7  1985    41695.800000
    24     7  1985    41214.400000
    25     7  1985    40784.500000
    26     7  1985    40169.000000
    27     7  1985    39281.200000
    28     7  1985    38179.400000
    29     7  1985    37054.900000
    30     7  1985    35779.700000
    31     7  1985    34833.000000
     1     8  1985    33862.100000
     2     8  1985    33074.500000
     3     8  1985    32259.300000
     4     8  1985    31458.300000
     5     8  1985    30866.800000
     6     8  1985    30515.600000
     7     8  1985    30321.700000
     8     8  1985    30283.000000
     9     8  1985    30671.300000
    10     8  1985    31220.800000
    11     8  1985    31857.100000
    12     8  1985    32583.700000
    13     8  1985    33280.500000
    14     8  1985    33736.900000
    15     8  1985    33903.900000
    16     8  1985    33903.900000
    17     8  1985    33653.600000
    18     8  1985    33404.600000
    19     8  1985    33074.500000
    20     8  1985    32951.300000
    21     8  1985    32787.600000
    22     8  1985    32665.200000
    23     8  1985    32502.400000
    24     8  1985    32098.000000
    25     8  1985    31577.600000
    26     8  1985    30905.900000
    27     8  1985    30360.400000
    28     8  1985    29974.800000
    29     8  1985    29783.400000
    30     8  1985    29592.700000
    31     8  1985    29478.800000
     1     9  1985    29289.500000
     2     9  1985    29063.500000
     3     9  1985    28726.800000
     4     9  1985    28208.500000
     5     9  1985    27988.400000
     6     9  1985    27878.800000
     7     9  1985    27988.400000
     8     9  1985    28208.500000
     9     9  1985    28171.700000
    10     9  1985    28171.700000
    11     9  1985    28171.700000
    12     9  1985    29630.800000
    13     9  1985    29859.900000
    14     9  1985    29859.900000
    15     9  1985    30013.300000
