JATUARANA	-59.678	-3.052
    24    12  1984     1048.000000
    25    12  1984     1059.000000
    26    12  1984     1066.000000
    27    12  1984     1074.000000
    28    12  1984     1085.000000
    29    12  1984     1093.000000
    30    12  1984     1102.000000
    31    12  1984     1106.000000
     1     1  1985     1114.000000
     2     1  1985     1122.000000
     3     1  1985     1130.000000
     4     1  1985     1138.000000
     5     1  1985     1145.000000
     6     1  1985     1150.000000
     7     1  1985     1157.000000
     8     1  1985     1168.000000
     9     1  1985     1176.000000
    10     1  1985     1184.000000
    11     1  1985     1193.000000
    12     1  1985     1204.000000
    13     1  1985     1212.000000
    14     1  1985     1224.000000
    15     1  1985     1238.000000
    16     1  1985     1246.000000
    17     1  1985     1256.000000
    18     1  1985     1268.000000
    19     1  1985     1276.000000
    20     1  1985     1286.000000
    21     1  1985     1298.000000
    22     1  1985     1306.000000
    23     1  1985     1314.000000
    24     1  1985     1319.000000
    25     1  1985     1323.000000
    26     1  1985     1327.000000
    27     1  1985     1331.000000
    28     1  1985     1335.000000
    29     1  1985     1338.000000
    30     1  1985     1338.000000
    31     1  1985     1338.000000
     1     2  1985     1338.000000
     2     2  1985     1336.000000
     3     2  1985     1334.000000
     4     2  1985     1332.000000
     5     2  1985     1331.000000
     6     2  1985     1330.000000
     7     2  1985     1330.000000
     8     2  1985     1330.000000
     9     2  1985     1328.000000
    10     2  1985     1326.000000
    11     2  1985     1318.000000
    12     2  1985     1311.000000
    13     2  1985     1308.000000
    14     2  1985     1303.000000
    15     2  1985     1298.000000
    16     2  1985     1296.000000
    17     2  1985     1292.000000
    18     2  1985     1287.000000
    19     2  1985     1283.000000
    20     2  1985     1278.000000
    21     2  1985     1276.000000
    22     2  1985     1274.000000
    23     2  1985     1271.000000
    24     2  1985     1269.000000
    25     2  1985     1266.000000
    26     2  1985     1263.000000
    27     2  1985     1260.000000
    28     2  1985     1260.000000
     1     3  1985     1258.000000
     2     3  1985     1257.000000
     3     3  1985     1257.000000
     4     3  1985     1258.000000
     5     3  1985     1259.000000
     6     3  1985     1259.000000
     7     3  1985     1260.000000
     8     3  1985     1261.000000
     9     3  1985     1262.000000
    10     3  1985     1262.000000
    11     3  1985     1263.000000
    12     3  1985     1263.000000
    13     3  1985     1263.000000
    14     3  1985     1263.000000
    15     3  1985     1263.000000
    16     3  1985     1263.000000
    17     3  1985     1263.000000
    18     3  1985     1263.000000
    19     3  1985     1264.000000
    20     3  1985     1266.000000
    21     3  1985     1268.000000
    22     3  1985     1271.000000
    23     3  1985     1276.000000
    24     3  1985     1280.000000
    25     3  1985     1282.000000
    26     3  1985     1286.000000
    27     3  1985     1288.000000
    28     3  1985     1290.000000
    29     3  1985     1292.000000
    30     3  1985     1294.000000
    31     3  1985     1296.000000
     1     4  1985     1298.000000
     2     4  1985     1299.000000
     3     4  1985     1301.000000
     4     4  1985     1302.000000
     5     4  1985     1302.000000
     6     4  1985     1302.000000
     7     4  1985     1302.000000
     8     4  1985     1302.000000
     9     4  1985     1302.000000
    10     4  1985     1302.000000
    11     4  1985     1302.000000
    12     4  1985     1302.000000
    13     4  1985     1302.000000
    14     4  1985     1302.000000
    15     4  1985     1302.000000
    16     4  1985     1302.000000
    17     4  1985     1302.000000
    18     4  1985     1301.000000
    19     4  1985     1299.000000
    20     4  1985     1299.000000
    21     4  1985     1299.000000
    22     4  1985     1299.000000
    23     4  1985     1299.000000
    24     4  1985     1299.000000
    25     4  1985     1300.000000
    26     4  1985     1305.000000
    27     4  1985     1309.000000
    28     4  1985     1313.000000
    29     4  1985     1315.000000
    30     4  1985     1312.000000
     1     5  1985     1312.000000
     2     5  1985     1314.000000
     3     5  1985     1317.000000
     4     5  1985     1319.000000
     5     5  1985     1325.000000
     6     5  1985     1329.000000
     7     5  1985     1334.000000
     8     5  1985     1338.000000
     9     5  1985     1345.000000
    10     5  1985     1352.000000
    11     5  1985     1358.000000
    12     5  1985     1364.000000
    13     5  1985     1374.000000
    14     5  1985     1380.000000
    15     5  1985     1385.000000
    16     5  1985     1389.000000
    17     5  1985     1393.000000
    18     5  1985     1399.000000
    19     5  1985     1406.000000
