BRASILÉIA	-68.745	-11.018
    20     7  1985      255.000000
    21     7  1985      265.000000
    22     7  1985      257.000000
    23     7  1985      249.000000
    24     7  1985      246.000000
    25     7  1985      246.000000
    26     7  1985      246.000000
    27     7  1985      246.000000
    28     7  1985      246.000000
    29     7  1985      246.000000
    30     7  1985      242.000000
    31     7  1985      238.000000
     1     8  1985      236.000000
     2     8  1985      248.000000
     3     8  1985      277.000000
     4     8  1985      272.000000
     5     8  1985      257.000000
     6     8  1985      249.000000
     7     8  1985      242.000000
     8     8  1985      242.000000
     9     8  1985      238.000000
    10     8  1985      238.000000
    11     8  1985      238.000000
    12     8  1985      238.000000
    13     8  1985      238.000000
    14     8  1985      238.000000
    15     8  1985      234.000000
    16     8  1985      234.000000
    17     8  1985      234.000000
    18     8  1985      234.000000
    19     8  1985      234.000000
    20     8  1985      230.000000
    21     8  1985      246.000000
    22     8  1985      263.000000
    23     8  1985      449.000000
    24     8  1985      319.000000
    25     8  1985      284.000000
    26     8  1985      258.000000
    27     8  1985      245.000000
    28     8  1985      236.000000
    29     8  1985      285.000000
    30     8  1985      302.000000
    31     8  1985      273.000000
     1     9  1985      260.000000
     2     9  1985      249.000000
     3     9  1985      240.000000
     4     9  1985      234.000000
     5     9  1985      228.000000
     6     9  1985      222.000000
     7     9  1985      218.000000
     8     9  1985      216.000000
     9     9  1985      214.000000
    10     9  1985      223.000000
    11     9  1985      222.000000
    12     9  1985      222.000000
    13     9  1985      243.000000
    14     9  1985      240.000000
    15     9  1985      242.000000
    16     9  1985      262.000000
    17     9  1985      263.000000
    18     9  1985      239.000000
    19     9  1985      250.000000
    20     9  1985      255.000000
    21     9  1985      247.000000
    22     9  1985      265.000000
    23     9  1985      263.000000
    24     9  1985      269.000000
    25     9  1985      263.000000
    26     9  1985      339.000000
    27     9  1985      355.000000
    28     9  1985      329.000000
    29     9  1985      345.000000
    30     9  1985      273.000000
     1    10  1985      249.000000
     2    10  1985      242.000000
     3    10  1985      240.000000
     4    10  1985      232.000000
     5    10  1985      507.000000
     6    10  1985      484.000000
     7    10  1985      364.000000
     8    10  1985      307.000000
     9    10  1985      277.000000
    10    10  1985      280.000000
    11    10  1985      258.000000
    12    10  1985      249.000000
    13    10  1985      256.000000
    14    10  1985      257.000000
    15    10  1985      271.000000
    16    10  1985      276.000000
    17    10  1985      258.000000
    18    10  1985      263.000000
    19    10  1985      297.000000
    20    10  1985      335.000000
    21    10  1985      300.000000
    22    10  1985      255.000000
    23    10  1985      247.000000
    24    10  1985      242.000000
    25    10  1985      256.000000
    26    10  1985      286.000000
    27    10  1985      266.000000
    28    10  1985      245.000000
    29    10  1985      250.000000
    30    10  1985      302.000000
    31    10  1985      375.000000
     1    11  1985      481.000000
     2    11  1985      496.000000
     3    11  1985      488.000000
     4    11  1985      496.000000
     5    11  1985      456.000000
     6    11  1985      370.000000
     7    11  1985      353.000000
     8    11  1985      344.000000
     9    11  1985      336.000000
    10    11  1985      331.000000
    11    11  1985      326.000000
    12    11  1985      324.000000
    13    11  1985      358.000000
    14    11  1985      390.000000
    15    11  1985      414.000000
    16    11  1985      462.000000
    17    11  1985      458.000000
    18    11  1985      448.000000
    19    11  1985      418.000000
    20    11  1985      386.000000
    21    11  1985      384.000000
    22    11  1985      396.000000
    23    11  1985      384.000000
    24    11  1985      350.000000
    25    11  1985      387.000000
    26    11  1985      366.000000
    27    11  1985      455.000000
    28    11  1985      514.000000
    29    11  1985      456.000000
    30    11  1985      399.000000
     1    12  1985      372.000000
     2    12  1985      354.000000
     3    12  1985      340.000000
     4    12  1985      322.000000
