CACHOEIRAMORENA	-59.335	-2.114
    13     1  1985      371.000000
    14     1  1985      375.000000
    15     1  1985      370.000000
    16     1  1985      361.000000
    17     1  1985      359.000000
    18     1  1985      357.000000
    19     1  1985      353.000000
    20     1  1985      350.000000
    21     1  1985      348.000000
    22     1  1985      345.000000
    23     1  1985      339.000000
    24     1  1985      332.000000
    25     1  1985      328.000000
    26     1  1985      322.000000
    27     1  1985      314.000000
    28     1  1985      309.000000
    29     1  1985      306.000000
    30     1  1985      308.000000
    31     1  1985      308.000000
     1     2  1985      307.000000
     2     2  1985      305.000000
     3     2  1985      306.000000
     4     2  1985      310.000000
     5     2  1985      311.000000
     6     2  1985      310.000000
     7     2  1985      309.000000
     8     2  1985      315.000000
     9     2  1985      326.000000
    10     2  1985      340.000000
    11     2  1985      349.000000
    12     2  1985      352.000000
    13     2  1985      350.000000
    14     2  1985      339.000000
    15     2  1985      331.000000
    16     2  1985      322.000000
    17     2  1985      315.000000
    18     2  1985      309.000000
    19     2  1985      307.000000
    20     2  1985      303.000000
    21     2  1985      297.000000
    22     2  1985      292.000000
    23     2  1985      292.000000
    24     2  1985      291.000000
    25     2  1985      290.000000
    26     2  1985      289.000000
    27     2  1985      288.000000
    28     2  1985      287.000000
     1     3  1985      291.000000
     2     3  1985      296.000000
     3     3  1985      315.000000
     4     3  1985      324.000000
     5     3  1985      333.000000
     6     3  1985      344.000000
     7     3  1985      360.000000
     8     3  1985      372.000000
     9     3  1985      381.000000
    10     3  1985      370.000000
    11     3  1985      360.000000
    12     3  1985      350.000000
    13     3  1985      348.000000
    14     3  1985      347.000000
    15     3  1985      344.000000
    16     3  1985      339.000000
    17     3  1985      336.000000
    18     3  1985      321.000000
    19     3  1985      320.000000
    20     3  1985      316.000000
    21     3  1985      320.000000
    22     3  1985      325.000000
    23     3  1985      324.000000
    24     3  1985      323.000000
    25     3  1985      321.000000
    26     3  1985      317.000000
    27     3  1985      319.000000
    28     3  1985      321.000000
    29     3  1985      322.000000
    30     3  1985      324.000000
    31     3  1985      329.000000
     1     4  1985      327.000000
     2     4  1985      315.000000
     3     4  1985      314.000000
     4     4  1985      313.000000
     5     4  1985      302.000000
     6     4  1985      300.000000
     7     4  1985      297.000000
     8     4  1985      291.000000
     9     4  1985      287.000000
    10     4  1985      281.000000
    11     4  1985      280.000000
    12     4  1985      279.000000
    13     4  1985      279.000000
    14     4  1985      279.000000
    15     4  1985      277.000000
    16     4  1985      276.000000
    17     4  1985      272.000000
    18     4  1985      269.000000
    19     4  1985      266.000000
    20     4  1985      265.000000
    21     4  1985      269.000000
    22     4  1985      268.000000
    23     4  1985      268.000000
    24     4  1985      266.000000
    25     4  1985      268.000000
    26     4  1985      275.000000
    27     4  1985      291.000000
    28     4  1985      312.000000
    29     4  1985      327.000000
    30     4  1985      332.000000
     1     5  1985      331.000000
     2     5  1985      327.000000
     3     5  1985      324.000000
     4     5  1985      322.000000
     5     5  1985      320.000000
     6     5  1985      325.000000
     7     5  1985      328.000000
     8     5  1985      330.000000
     9     5  1985      329.000000
    10     5  1985      336.000000
    11     5  1985      341.000000
    12     5  1985      347.000000
    13     5  1985      353.000000
    14     5  1985      364.000000
    15     5  1985      370.000000
    16     5  1985      364.000000
    17     5  1985      354.000000
    18     5  1985      353.000000
    19     5  1985      355.000000
    20     5  1985      364.000000
    21     5  1985      365.000000
    22     5  1985      363.000000
    23     5  1985      362.000000
    24     5  1985      362.000000
    25     5  1985      362.000000
    26     5  1985      364.000000
    27     5  1985      366.000000
    28     5  1985      367.000000
    29     5  1985      366.000000
    30     5  1985      364.000000
    31     5  1985      365.000000
     1     6  1985      365.000000
     2     6  1985      366.000000
     3     6  1985      377.000000
     4     6  1985      382.000000
     5     6  1985      384.000000
     6     6  1985      393.000000
     7     6  1985      409.000000
     8     6  1985      423.000000
     9     6  1985      432.000000
    10     6  1985      438.000000
    11     6  1985      440.000000
    12     6  1985      440.000000
    13     6  1985      437.000000
    14     6  1985      432.000000
    15     6  1985      436.000000
    16     6  1985      439.000000
    17     6  1985      434.000000
    18     6  1985      427.000000
    19     6  1985      421.000000
    20     6  1985      414.000000
    21     6  1985      406.000000
    22     6  1985      398.000000
    23     6  1985      387.000000
    24     6  1985      377.000000
    25     6  1985      373.000000
    26     6  1985      369.000000
    27     6  1985      367.000000
    28     6  1985      361.000000
    29     6  1985      356.000000
    30     6  1985      353.000000
     1     7  1985      351.000000
     2     7  1985      350.000000
     3     7  1985      348.000000
     4     7  1985      345.000000
     5     7  1985      342.000000
     6     7  1985      338.000000
     7     7  1985      335.000000
     8     7  1985      332.000000
     9     7  1985      331.000000
    10     7  1985      332.000000
    11     7  1985      336.000000
    12     7  1985      344.000000
    13     7  1985      350.000000
    14     7  1985      351.000000
    15     7  1985      356.000000
    16     7  1985      364.000000
    17     7  1985      370.000000
    18     7  1985      374.000000
    19     7  1985      374.000000
    20     7  1985      373.000000
    21     7  1985      374.000000
    22     7  1985      381.000000
    23     7  1985      386.000000
    24     7  1985      394.000000
    25     7  1985      398.000000
    26     7  1985      399.000000
    27     7  1985      403.000000
    28     7  1985      405.000000
    29     7  1985      405.000000
    30     7  1985      406.000000
    31     7  1985      400.000000
     1     8  1985      390.000000
     2     8  1985      382.000000
     3     8  1985      373.000000
     4     8  1985      363.000000
     5     8  1985      356.000000
     6     8  1985      349.000000
     7     8  1985      345.000000
     8     8  1985      338.000000
     9     8  1985      335.000000
    10     8  1985      334.000000
