JAPURÁ-ACANAUI	-66.600	-1.817
    18     8  1985     1349.000000
    19     8  1985     1346.000000
    20     8  1985     1344.000000
    21     8  1985     1338.000000
    22     8  1985     1336.000000
    23     8  1985     1333.000000
    24     8  1985     1328.000000
    25     8  1985     1322.000000
    26     8  1985     1316.000000
    27     8  1985     1310.000000
    28     8  1985     1303.000000
    29     8  1985     1297.000000
    30     8  1985     1290.000000
    31     8  1985     1282.000000
     1     9  1985     1272.000000
     2     9  1985     1263.000000
     3     9  1985     1258.000000
     4     9  1985     1248.000000
     5     9  1985     1242.000000
     6     9  1985     1238.000000
     7     9  1985     1226.000000
     8     9  1985     1216.000000
     9     9  1985     1210.000000
    10     9  1985     1202.000000
    11     9  1985     1194.000000
    12     9  1985     1188.000000
    13     9  1985     1183.000000
    14     9  1985     1179.000000
    15     9  1985     1172.000000
    16     9  1985     1168.000000
    17     9  1985     1165.000000
    18     9  1985     1162.000000
    19     9  1985     1160.000000
    20     9  1985     1158.000000
    21     9  1985     1155.000000
    22     9  1985     1151.000000
    23     9  1985     1147.000000
    24     9  1985     1143.000000
    25     9  1985     1139.000000
    26     9  1985     1135.000000
    27     9  1985     1130.000000
    28     9  1985     1124.000000
    29     9  1985     1116.000000
    30     9  1985     1108.000000
     1    10  1985     1099.000000
     2    10  1985     1095.000000
     3    10  1985     1088.000000
     4    10  1985     1080.000000
     5    10  1985     1072.000000
     6    10  1985     1066.000000
     7    10  1985     1058.000000
     8    10  1985     1056.000000
     9    10  1985     1057.000000
    10    10  1985     1062.000000
    11    10  1985     1066.000000
    12    10  1985     1069.000000
    13    10  1985     1070.000000
