PALMEIRASDOJAVARI	-72.800	-5.133
    25     3  1985     1276.000000
    26     3  1985     1266.000000
    27     3  1985     1260.000000
    28     3  1985     1260.000000
    29     3  1985     1265.000000
    30     3  1985     1262.000000
    31     3  1985     1246.000000
     1     4  1985     1224.000000
     2     4  1985     1198.000000
     3     4  1985     1178.000000
     4     4  1985     1178.000000
     5     4  1985     1200.000000
     6     4  1985     1236.000000
     7     4  1985     1246.000000
     8     4  1985     1268.000000
     9     4  1985     1290.000000
    10     4  1985     1320.000000
    11     4  1985     1333.000000
    12     4  1985     1336.000000
    13     4  1985     1344.000000
    14     4  1985     1350.000000
    15     4  1985     1352.000000
    16     4  1985     1348.000000
    17     4  1985     1337.000000
    18     4  1985     1322.000000
    19     4  1985     1301.000000
    20     4  1985     1276.000000
    21     4  1985     1245.000000
    22     4  1985     1220.000000
    23     4  1985     1192.000000
    24     4  1985     1169.000000
    25     4  1985     1165.000000
    26     4  1985     1186.000000
    27     4  1985     1252.000000
    28     4  1985     1292.000000
    29     4  1985     1304.000000
    30     4  1985     1300.000000
     1     5  1985     1296.000000
     2     5  1985     1299.000000
     3     5  1985     1312.000000
     4     5  1985     1320.000000
     5     5  1985     1318.000000
     6     5  1985     1309.000000
     7     5  1985     1294.000000
     8     5  1985     1260.000000
     9     5  1985     1197.000000
    10     5  1985     1117.000000
    11     5  1985     1050.000000
    12     5  1985     1016.000000
    13     5  1985     1000.000000
    14     5  1985      991.000000
    15     5  1985      999.000000
    16     5  1985     1037.000000
    17     5  1985     1073.000000
    18     5  1985     1111.000000
    19     5  1985     1182.000000
    20     5  1985     1212.000000
    21     5  1985     1218.000000
    22     5  1985     1216.000000
    23     5  1985     1215.000000
    24     5  1985     1208.000000
    25     5  1985     1190.000000
    26     5  1985     1149.000000
    27     5  1985     1120.000000
    28     5  1985     1099.000000
    29     5  1985     1078.000000
    30     5  1985     1058.000000
    31     5  1985     1079.000000
     1     6  1985     1151.000000
     2     6  1985     1200.000000
     3     6  1985     1213.000000
     4     6  1985     1211.000000
     5     6  1985     1224.000000
     6     6  1985     1224.000000
     7     6  1985     1201.000000
     8     6  1985     1166.000000
     9     6  1985     1119.000000
    10     6  1985     1068.000000
    11     6  1985      996.000000
    12     6  1985      916.000000
    13     6  1985      839.000000
    14     6  1985      782.000000
    15     6  1985      725.000000
    16     6  1985      689.000000
    17     6  1985      667.000000
    18     6  1985      655.000000
    19     6  1985      668.000000
    20     6  1985      678.000000
    21     6  1985      690.000000
    22     6  1985      716.000000
    23     6  1985      734.000000
    24     6  1985      740.000000
    25     6  1985      746.000000
    26     6  1985      764.000000
    27     6  1985      768.000000
    28     6  1985      780.000000
    29     6  1985      818.000000
    30     6  1985      856.000000
     1     7  1985      887.000000
     2     7  1985      916.000000
     3     7  1985      982.000000
     4     7  1985     1067.000000
     5     7  1985     1094.000000
     6     7  1985     1102.000000
     7     7  1985     1126.000000
     8     7  1985     1152.000000
     9     7  1985     1135.000000
    10     7  1985     1104.000000
    11     7  1985     1072.000000
    12     7  1985     1024.000000
    13     7  1985      973.000000
    14     7  1985      924.000000
    15     7  1985      882.000000
    16     7  1985      844.000000
    17     7  1985      808.000000
    18     7  1985      763.000000
    19     7  1985      715.000000
    20     7  1985      691.000000
    21     7  1985      692.000000
    22     7  1985      688.000000
    23     7  1985      676.000000
    24     7  1985      656.000000
    25     7  1985      638.000000
    26     7  1985      613.000000
    27     7  1985      604.000000
    28     7  1985      630.000000
    29     7  1985      644.000000
    30     7  1985      654.000000
    31     7  1985      711.000000
     1     8  1985      772.000000
     2     8  1985      798.000000
     3     8  1985      792.000000
     4     8  1985      784.000000
     5     8  1985      762.000000
