FONTEBOA	-66.062	-2.491
    27     7  1985     1735.000000
    28     7  1985     1727.000000
    29     7  1985     1720.000000
    30     7  1985     1714.000000
    31     7  1985     1706.000000
     1     8  1985     1699.000000
     2     8  1985     1692.000000
     3     8  1985     1682.000000
     4     8  1985     1671.000000
     5     8  1985     1659.000000
     6     8  1985     1646.000000
     7     8  1985     1635.000000
     8     8  1985     1624.000000
     9     8  1985     1618.000000
    10     8  1985     1611.000000
    11     8  1985     1608.000000
    12     8  1985     1610.000000
    13     8  1985     1612.000000
    14     8  1985     1615.000000
    15     8  1985     1619.000000
    16     8  1985     1621.000000
    17     8  1985     1621.000000
    18     8  1985     1620.000000
    19     8  1985     1617.000000
    20     8  1985     1614.000000
    21     8  1985     1611.000000
    22     8  1985     1608.000000
    23     8  1985     1604.000000
    24     8  1985     1603.000000
    25     8  1985     1598.000000
    26     8  1985     1592.000000
    27     8  1985     1586.000000
    28     8  1985     1578.000000
    29     8  1985     1572.000000
    30     8  1985     1562.000000
    31     8  1985     1556.000000
     1     9  1985     1552.000000
     2     9  1985     1547.000000
     3     9  1985     1542.000000
     4     9  1985     1534.000000
     5     9  1985     1528.000000
     6     9  1985     1520.000000
     7     9  1985     1514.000000
     8     9  1985     1507.000000
     9     9  1985     1502.000000
    10     9  1985     1496.000000
    11     9  1985     1492.000000
    12     9  1985     1486.000000
    13     9  1985     1480.000000
    14     9  1985     1472.000000
    15     9  1985     1466.000000
    16     9  1985     1460.000000
    17     9  1985     1454.000000
    18     9  1985     1448.000000
    19     9  1985     1444.000000
