TEFÉ	-64.655	-3.376
     2     8  1984     1194.000000
     3     8  1984     1188.000000
     4     8  1984     1181.000000
     5     8  1984     1174.000000
     6     8  1984     1168.000000
     7     8  1984     1159.000000
     8     8  1984     1150.000000
     9     8  1984     1144.000000
    10     8  1984     1138.000000
    11     8  1984     1128.000000
    12     8  1984     1117.000000
    13     8  1984     1105.000000
    14     8  1984     1093.000000
    15     8  1984     1081.000000
    16     8  1984     1069.000000
    17     8  1984     1052.000000
    18     8  1984     1039.000000
    19     8  1984     1022.000000
    20     8  1984     1012.000000
    21     8  1984      998.000000
    22     8  1984      986.000000
    23     8  1984      974.000000
    24     8  1984      962.000000
    25     8  1984      951.000000
    26     8  1984      938.000000
    27     8  1984      924.000000
    28     8  1984      911.000000
    29     8  1984      898.000000
    30     8  1984      886.000000
    31     8  1984      875.000000
     1     9  1984      866.000000
     2     9  1984      858.000000
     3     9  1984      851.000000
     4     9  1984      840.000000
     5     9  1984      829.000000
     6     9  1984      820.000000
     7     9  1984      812.000000
     8     9  1984      804.000000
     9     9  1984      796.000000
    10     9  1984      787.000000
    11     9  1984      778.000000
    12     9  1984      769.000000
    13     9  1984      758.000000
    14     9  1984      748.000000
    15     9  1984      738.000000
    16     9  1984      728.000000
    17     9  1984      720.000000
    18     9  1984      711.000000
    19     9  1984      702.000000
    20     9  1984      694.000000
    21     9  1984      685.000000
    22     9  1984      677.000000
    23     9  1984      672.000000
    24     9  1984      666.000000
    25     9  1984      657.000000
    26     9  1984      648.000000
    27     9  1984      640.000000
    28     9  1984      629.000000
    29     9  1984      621.000000
    30     9  1984      612.000000
     1    10  1984      603.000000
     2    10  1984      592.000000
     3    10  1984      580.000000
     4    10  1984      566.000000
     5    10  1984      554.000000
     6    10  1984      542.000000
     7    10  1984      532.000000
     8    10  1984      523.000000
     9    10  1984      514.000000
    10    10  1984      509.000000
    11    10  1984      504.000000
    12    10  1984      500.000000
    13    10  1984      498.000000
    14    10  1984      497.000000
    15    10  1984      497.000000
    16    10  1984      498.000000
    17    10  1984      500.000000
    18    10  1984      503.000000
    19    10  1984      507.000000
    20    10  1984      511.000000
    21    10  1984      515.000000
    22    10  1984      520.000000
    23    10  1984      524.000000
    24    10  1984      528.000000
    25    10  1984      534.000000
    26    10  1984      540.000000
    27    10  1984      546.000000
    28    10  1984      552.000000
    29    10  1984      560.000000
    30    10  1984      568.000000
    31    10  1984      578.000000
     1    11  1984      587.000000
     2    11  1984      596.000000
     3    11  1984      606.000000
     4    11  1984      616.000000
     5    11  1984      622.000000
     6    11  1984      629.000000
     7    11  1984      636.000000
     8    11  1984      640.000000
     9    11  1984      639.000000
    10    11  1984      635.000000
    11    11  1984      631.000000
    12    11  1984      627.000000
    13    11  1984      620.000000
    14    11  1984      612.000000
    15    11  1984      602.000000
    16    11  1984      592.000000
    17    11  1984      584.000000
    18    11  1984      574.000000
    19    11  1984      567.000000
    20    11  1984      552.000000
    21    11  1984      539.000000
    22    11  1984      527.000000
    23    11  1984      517.000000
    24    11  1984      509.000000
    25    11  1984      504.000000
    26    11  1984      501.000000
    27    11  1984      498.000000
    28    11  1984      498.000000
    29    11  1984      503.000000
    30    11  1984      507.000000
     1    12  1984      513.000000
     2    12  1984      521.000000
     3    12  1984      535.000000
     4    12  1984      551.000000
     5    12  1984      568.000000
     6    12  1984      591.000000
     7    12  1984      609.000000
     8    12  1984      633.000000
     9    12  1984      657.000000
    10    12  1984      678.000000
    11    12  1984      698.000000
    12    12  1984      718.000000
    13    12  1984      735.000000
    14    12  1984      749.000000
    15    12  1984      765.000000
    16    12  1984      777.000000
    17    12  1984      794.000000
    18    12  1984      806.000000
    19    12  1984      816.000000
    20    12  1984      826.000000
    21    12  1984      835.000000
    22    12  1984      844.000000
    23    12  1984      853.000000
    24    12  1984      863.000000
    25    12  1984      869.000000
    26    12  1984      875.000000
    27    12  1984      883.000000
    28    12  1984      887.000000
    29    12  1984      896.000000
    30    12  1984      904.000000
    31    12  1984      913.000000
     1     1  1985      921.000000
     2     1  1985      927.000000
     3     1  1985      933.000000
     4     1  1985      943.000000
     5     1  1985      947.000000
     6     1  1985      951.000000
     7     1  1985      956.000000
     8     1  1985      963.000000
     9     1  1985      972.000000
    10     1  1985      985.000000
    11     1  1985      994.000000
    12     1  1985     1003.000000
    13     1  1985     1009.000000
    14     1  1985     1019.000000
    15     1  1985     1024.000000
    16     1  1985     1028.000000
    17     1  1985     1028.000000
    18     1  1985     1027.000000
    19     1  1985     1026.000000
    20     1  1985     1024.000000
    21     1  1985     1019.000000
    22     1  1985     1017.000000
    23     1  1985     1013.000000
    24     1  1985     1004.000000
    25     1  1985      995.000000
    26     1  1985      983.000000
    27     1  1985      967.000000
    28     1  1985      955.000000
    29     1  1985      939.000000
    30     1  1985      927.000000
    31     1  1985      909.000000
     1     2  1985      888.000000
     2     2  1985      865.000000
     3     2  1985      847.000000
     4     2  1985      824.000000
     5     2  1985      804.000000
     6     2  1985      782.000000
     7     2  1985      762.000000
     8     2  1985      742.000000
