MOURA	-61.635	-1.457
    15     9  1984     1035.000000
    16     9  1984     1026.000000
    17     9  1984     1015.000000
    18     9  1984     1005.000000
    19     9  1984      995.000000
    20     9  1984      986.000000
    21     9  1984      978.000000
    22     9  1984      971.000000
    23     9  1984      958.000000
    24     9  1984      955.000000
    25     9  1984      947.000000
    26     9  1984      940.000000
    27     9  1984      933.000000
    28     9  1984      926.000000
    29     9  1984      918.000000
    30     9  1984      910.000000
     1    10  1984      900.000000
     2    10  1984      890.000000
     3    10  1984      882.000000
     4    10  1984      872.000000
     5    10  1984      866.000000
     6    10  1984      858.000000
     7    10  1984      850.000000
     8    10  1984      841.000000
     9    10  1984      830.000000
    10    10  1984      817.000000
    11    10  1984      805.000000
    12    10  1984      795.000000
    13    10  1984      786.000000
    14    10  1984      777.000000
    15    10  1984      768.000000
    16    10  1984      753.000000
    17    10  1984      750.000000
    18    10  1984      742.000000
    19    10  1984      735.000000
    20    10  1984      731.000000
    21    10  1984      727.000000
    22    10  1984      722.000000
    23    10  1984      717.000000
    24    10  1984      709.000000
    25    10  1984      704.000000
    26    10  1984      700.000000
    27    10  1984      697.000000
    28    10  1984      693.000000
    29    10  1984      690.000000
    30    10  1984      689.000000
    31    10  1984      688.000000
     1    11  1984      687.000000
     2    11  1984      687.000000
     3    11  1984      684.000000
     4    11  1984      682.000000
     5    11  1984      680.000000
     6    11  1984      679.000000
     7    11  1984      678.000000
     8    11  1984      680.000000
     9    11  1984      682.000000
    10    11  1984      684.000000
    11    11  1984      687.000000
    12    11  1984      688.000000
    13    11  1984      690.000000
    14    11  1984      692.000000
    15    11  1984      694.000000
    16    11  1984      694.000000
    17    11  1984      695.000000
    18    11  1984      696.000000
    19    11  1984      694.000000
    20    11  1984      692.000000
    21    11  1984      689.000000
    22    11  1984      685.000000
    23    11  1984      681.000000
    24    11  1984      677.000000
    25    11  1984      673.000000
    26    11  1984      667.000000
    27    11  1984      663.000000
    28    11  1984      657.000000
    29    11  1984      653.000000
    30    11  1984      649.000000
     1    12  1984      641.000000
     2    12  1984      637.000000
     3    12  1984      633.000000
     4    12  1984      629.000000
     5    12  1984      623.000000
     6    12  1984      617.000000
     7    12  1984      613.000000
     8    12  1984      607.000000
     9    12  1984      603.000000
    10    12  1984      600.000000
    11    12  1984      597.000000
    12    12  1984      594.000000
    13    12  1984      592.000000
    14    12  1984      590.000000
    15    12  1984      589.000000
    16    12  1984      588.000000
    17    12  1984      590.000000
    18    12  1984      594.000000
    19    12  1984      599.000000
    20    12  1984      602.000000
    21    12  1984      606.000000
    22    12  1984      610.000000
    23    12  1984      613.000000
    24    12  1984      619.000000
    25    12  1984      622.000000
    26    12  1984      626.000000
    27    12  1984      630.000000
    28    12  1984      636.000000
    29    12  1984      643.000000
    30    12  1984      651.000000
    31    12  1984      659.000000
     1     1  1985      669.000000
     2     1  1985      677.000000
     3     1  1985      681.000000
     4     1  1985      685.000000
     5     1  1985      691.000000
     6     1  1985      703.000000
     7     1  1985      717.000000
     8     1  1985      731.000000
     9     1  1985      744.000000
    10     1  1985      755.000000
    11     1  1985      765.000000
    12     1  1985      774.000000
    13     1  1985      783.000000
    14     1  1985      795.000000
    15     1  1985      803.000000
    16     1  1985      812.000000
    17     1  1985      822.000000
    18     1  1985      830.000000
    19     1  1985      838.000000
    20     1  1985      846.000000
    21     1  1985      854.000000
    22     1  1985      859.000000
    23     1  1985      863.000000
    24     1  1985      866.000000
    25     1  1985      868.000000
    26     1  1985      868.000000
    27     1  1985      867.000000
    28     1  1985      866.000000
    29     1  1985      865.000000
    30     1  1985      861.000000
    31     1  1985      858.000000
     1     2  1985      856.000000
     2     2  1985      853.000000
     3     2  1985      850.000000
     4     2  1985      846.000000
     5     2  1985      842.000000
     6     2  1985      836.000000
     7     2  1985      831.000000
     8     2  1985      826.000000
     9     2  1985      822.000000
    10     2  1985      818.000000
    11     2  1985      810.000000
    12     2  1985      804.000000
    13     2  1985      796.000000
    14     2  1985      789.000000
    15     2  1985      783.000000
    16     2  1985      775.000000
    17     2  1985      767.000000
    18     2  1985      770.000000
    19     2  1985      764.000000
    20     2  1985      759.000000
    21     2  1985      754.000000
    22     2  1985      750.000000
    23     2  1985      746.000000
    24     2  1985      743.000000
