ÓBIDOS	-55.513	-1.919
    30     8  1985      465.000000
    31     8  1985      462.000000
     1     9  1985      461.000000
     2     9  1985      457.000000
     3     9  1985      454.000000
     4     9  1985      450.000000
     5     9  1985      447.000000
     6     9  1985      442.000000
     7     9  1985      437.000000
     8     9  1985      432.000000
     9     9  1985      425.000000
    10     9  1985      421.000000
    11     9  1985      416.000000
    12     9  1985      412.000000
    13     9  1985      411.000000
    14     9  1985      410.000000
    15     9  1985      408.000000
    16     9  1985      406.000000
    17     9  1985      403.000000
    18     9  1985      400.000000
    19     9  1985      396.000000
    20     9  1985      391.000000
    21     9  1985      383.000000
    22     9  1985      376.000000
    23     9  1985      369.000000
    24     9  1985      362.000000
    25     9  1985      357.000000
    26     9  1985      351.000000
    27     9  1985      347.000000
    28     9  1985      343.000000
    29     9  1985      336.000000
    30     9  1985      336.000000
     1    10  1985      332.000000
     2    10  1985      326.000000
     3    10  1985      322.000000
     4    10  1985      316.000000
     5    10  1985      312.000000
     6    10  1985      303.000000
     7    10  1985      296.000000
     8    10  1985      288.000000
     9    10  1985      282.000000
    10    10  1985      277.000000
    11    10  1985      271.000000
    12    10  1985      272.000000
    13    10  1985      269.000000
    14    10  1985      266.000000
    15    10  1985      266.000000
    16    10  1985      264.000000
    17    10  1985      266.000000
    18    10  1985      263.000000
    19    10  1985      259.000000
    20    10  1985      252.000000
    21    10  1985      246.000000
    22    10  1985      241.000000
    23    10  1985      237.000000
    24    10  1985      232.000000
    25    10  1985      233.000000
    26    10  1985      231.000000
    27    10  1985      230.000000
    28    10  1985      230.000000
    29    10  1985      230.000000
    30    10  1985      233.000000
    31    10  1985      233.000000
     1    11  1985      232.000000
     2    11  1985      232.000000
     3    11  1985      231.000000
     4    11  1985      229.000000
     5    11  1985      225.000000
     6    11  1985      225.000000
     7    11  1985      225.000000
     8    11  1985      223.000000
     9    11  1985      224.000000
    10    11  1985      227.000000
    11    11  1985      230.000000
    12    11  1985      233.000000
    13    11  1985      239.000000
    14    11  1985      242.000000
    15    11  1985      245.000000
    16    11  1985      246.000000
    17    11  1985      244.000000
    18    11  1985      238.000000
    19    11  1985      234.000000
    20    11  1985      232.000000
    21    11  1985      228.000000
    22    11  1985      225.000000
    23    11  1985      223.000000
    24    11  1985      222.000000
    25    11  1985      221.000000
    26    11  1985      223.000000
    27    11  1985      224.000000
    28    11  1985      221.000000
    29    11  1985      223.000000
    30    11  1985      222.000000
     1    12  1985      225.000000
     2    12  1985      224.000000
     3    12  1985      226.000000
