BERURI	-61.368	-3.885
    13     7  1984     1983.000000
    14     7  1984     1980.000000
    15     7  1984     1976.000000
    16     7  1984     1974.000000
    17     7  1984     1971.000000
    18     7  1984     1968.000000
    19     7  1984     1964.000000
    20     7  1984     1960.000000
    21     7  1984     1956.000000
    22     7  1984     1952.000000
    23     7  1984     1948.000000
    24     7  1984     1944.000000
    25     7  1984     1939.000000
    26     7  1984     1933.000000
    27     7  1984     1929.000000
    28     7  1984     1925.000000
    29     7  1984     1921.000000
    30     7  1984     1918.000000
    31     7  1984     1916.000000
     1     8  1984     1913.000000
     2     8  1984     1906.000000
     3     8  1984     1895.000000
     4     8  1984     1885.000000
     5     8  1984     1876.000000
     6     8  1984     1868.000000
     7     8  1984     1858.000000
     8     8  1984     1849.000000
     9     8  1984     1845.000000
    10     8  1984     1841.000000
    11     8  1984     1836.000000
    12     8  1984     1831.000000
    13     8  1984     1822.000000
    14     8  1984     1810.000000
    15     8  1984     1798.000000
    16     8  1984     1786.000000
    17     8  1984     1778.000000
    18     8  1984     1766.000000
    19     8  1984     1748.000000
    20     8  1984     1736.000000
    21     8  1984     1726.000000
    22     8  1984     1717.000000
    23     8  1984     1708.000000
    24     8  1984     1697.000000
    25     8  1984     1684.000000
    26     8  1984     1672.000000
    27     8  1984     1658.000000
    28     8  1984     1642.000000
    29     8  1984     1630.000000
    30     8  1984     1618.000000
    31     8  1984     1608.000000
     1     9  1984     1594.000000
     2     9  1984     1582.000000
     3     9  1984     1569.000000
     4     9  1984     1559.000000
     5     9  1984     1548.000000
     6     9  1984     1538.000000
     7     9  1984     1528.000000
     8     9  1984     1516.000000
     9     9  1984     1504.000000
    10     9  1984     1492.000000
    11     9  1984     1483.000000
    12     9  1984     1472.000000
    13     9  1984     1462.000000
    14     9  1984     1454.000000
    15     9  1984     1446.000000
    16     9  1984     1438.000000
    17     9  1984     1428.000000
    18     9  1984     1418.000000
    19     9  1984     1408.000000
    20     9  1984     1398.000000
    21     9  1984     1384.000000
    22     9  1984     1373.000000
    23     9  1984     1362.000000
    24     9  1984     1352.000000
