BORBA	-59.597	-4.388
    24    11  1984     1330.000000
    25    11  1984     1341.000000
    26    11  1984     1353.000000
    27    11  1984     1364.000000
    28    11  1984     1374.000000
    29    11  1984     1386.000000
    30    11  1984     1392.000000
     1    12  1984     1397.000000
     2    12  1984     1404.000000
     3    12  1984     1407.000000
     4    12  1984     1410.000000
     5    12  1984     1412.000000
     6    12  1984     1412.000000
     7    12  1984     1413.000000
     8    12  1984     1414.000000
     9    12  1984     1416.000000
    10    12  1984     1422.000000
    11    12  1984     1431.000000
    12    12  1984     1438.000000
    13    12  1984     1443.000000
    14    12  1984     1462.000000
    15    12  1984     1482.000000
    16    12  1984     1496.000000
    17    12  1984     1511.000000
    18    12  1984     1522.000000
    19    12  1984     1528.000000
    20    12  1984     1531.000000
    21    12  1984     1534.000000
    22    12  1984     1536.000000
    23    12  1984     1535.000000
    24    12  1984     1536.000000
    25    12  1984     1536.000000
    26    12  1984     1537.000000
    27    12  1984     1538.000000
    28    12  1984     1539.000000
    29    12  1984     1540.000000
    30    12  1984     1542.000000
    31    12  1984     1544.000000
     1     1  1985     1546.000000
     2     1  1985     1548.000000
     3     1  1985     1552.000000
     4     1  1985     1554.000000
     5     1  1985     1559.000000
     6     1  1985     1568.000000
     7     1  1985     1576.000000
     8     1  1985     1583.000000
     9     1  1985     1593.000000
    10     1  1985     1612.000000
    11     1  1985     1632.000000
    12     1  1985     1648.000000
    13     1  1985     1667.000000
    14     1  1985     1678.000000
    15     1  1985     1688.000000
    16     1  1985     1703.000000
    17     1  1985     1725.000000
    18     1  1985     1746.000000
    19     1  1985     1762.000000
    20     1  1985     1777.000000
    21     1  1985     1789.000000
    22     1  1985     1796.000000
    23     1  1985     1804.000000
    24     1  1985     1810.000000
    25     1  1985     1818.000000
    26     1  1985     1820.000000
    27     1  1985     1824.000000
    28     1  1985     1830.000000
    29     1  1985     1836.000000
    30     1  1985     1842.000000
    31     1  1985     1850.000000
     1     2  1985     1855.000000
     2     2  1985     1858.000000
     3     2  1985     1859.000000
     4     2  1985     1860.000000
     5     2  1985     1862.000000
     6     2  1985     1866.000000
     7     2  1985     1866.000000
     8     2  1985     1868.000000
     9     2  1985     1871.000000
    10     2  1985     1873.000000
    11     2  1985     1876.000000
    12     2  1985     1878.000000
    13     2  1985     1880.000000
    14     2  1985     1880.000000
    15     2  1985     1881.000000
    16     2  1985     1881.000000
    17     2  1985     1884.000000
    18     2  1985     1886.000000
    19     2  1985     1887.000000
    20     2  1985     1887.000000
