GAVIÃO	-66.849	-4.839
     8     4  1994     1418.000000
     9     4  1994     1414.000000
    10     4  1994     1412.000000
    11     4  1994     1417.000000
    12     4  1994     1420.000000
    13     4  1994     1423.000000
    14     4  1994     1423.000000
    15     4  1994     1419.000000
    16     4  1994     1417.000000
    17     4  1994     1421.000000
    18     4  1994     1419.000000
    19     4  1994     1420.000000
    20     4  1994     1421.000000
    21     4  1994     1419.000000
    22     4  1994     1418.000000
    23     4  1994     1418.000000
    24     4  1994     1417.000000
    25     4  1994     1416.000000
    26     4  1994     1415.000000
    27     4  1994     1413.000000
    28     4  1994     1411.000000
    29     4  1994     1412.000000
    30     4  1994     1412.000000
     1     5  1994     1409.000000
     2     5  1994     1408.000000
     3     5  1994     1407.000000
     4     5  1994     1407.000000
     5     5  1994     1407.000000
     6     5  1994     1407.000000
     7     5  1994     1407.000000
     8     5  1994     1407.000000
     9     5  1994     1407.000000
    10     5  1994     1407.000000
    11     5  1994     1407.000000
    12     5  1994     1407.000000
    13     5  1994     1407.000000
    14     5  1994     1407.000000
    15     5  1994     1406.000000
    16     5  1994     1406.000000
    17     5  1994     1405.000000
    18     5  1994     1404.000000
    19     5  1994     1403.000000
    20     5  1994     1403.000000
    21     5  1994     1403.000000
    22     5  1994     1401.000000
    23     5  1994     1399.000000
    24     5  1994     1399.000000
    25     5  1994     1399.000000
    26     5  1994     1399.000000
    27     5  1994     1399.000000
    28     5  1994     1399.000000
    29     5  1994     1399.000000
    30     5  1994     1399.000000
    31     5  1994     1399.000000
     1     6  1994     1398.000000
     2     6  1994     1398.000000
     3     6  1994     1398.000000
     4     6  1994     1398.000000
     5     6  1994     1399.000000
     6     6  1994     1403.000000
     7     6  1994     1403.000000
     8     6  1994     1403.000000
     9     6  1994     1403.000000
    10     6  1994     1401.000000
    11     6  1994     1400.000000
    12     6  1994     1399.000000
    13     6  1994     1397.000000
    14     6  1994     1395.000000
    15     6  1994     1395.000000
    16     6  1994     1395.000000
    17     6  1994     1393.000000
    18     6  1994     1389.000000
    19     6  1994     1387.000000
    20     6  1994     1385.000000
    21     6  1994     1383.000000
    22     6  1994     1381.000000
    23     6  1994     1376.000000
    24     6  1994     1372.000000
    25     6  1994     1370.000000
    26     6  1994     1369.000000
    27     6  1994     1363.000000
    28     6  1994     1358.000000
    29     6  1994     1352.000000
    30     6  1994     1346.000000
     1     7  1994     1340.000000
     2     7  1994     1332.000000
     3     7  1994     1321.000000
     4     7  1994     1312.000000
     5     7  1994     1296.000000
     6     7  1994     1279.000000
     7     7  1994     1251.000000
     8     7  1994     1226.000000
     9     7  1994     1192.000000
    10     7  1994     1154.000000
    11     7  1994     1111.000000
    12     7  1994     1063.000000
    13     7  1994     1016.000000
    14     7  1994      998.000000
    15     7  1994      954.000000
    16     7  1994      914.000000
    17     7  1994      893.000000
    18     7  1994      868.000000
    19     7  1994      839.000000
    20     7  1994      811.000000
