COARI	-63.143	-4.082
    13     4  1985    -9999.000000
    14     4  1985    -9999.000000
    15     4  1985    -9999.000000
    16     4  1985    -9999.000000
    17     4  1985    -9999.000000
    18     4  1985    -9999.000000
    19     4  1985    -9999.000000
    20     4  1985    -9999.000000
    21     4  1985    -9999.000000
    22     4  1985    -9999.000000
    23     4  1985    -9999.000000
    24     4  1985    -9999.000000
    25     4  1985    -9999.000000
    26     4  1985    -9999.000000
    27     4  1985    -9999.000000
    28     4  1985    -9999.000000
    29     4  1985    -9999.000000
    30     4  1985    -9999.000000
     1     5  1985    -9999.000000
     2     5  1985    -9999.000000
     3     5  1985    -9999.000000
     4     5  1985    -9999.000000
     5     5  1985    -9999.000000
     6     5  1985    -9999.000000
     7     5  1985    -9999.000000
     8     5  1985    -9999.000000
     9     5  1985    -9999.000000
    10     5  1985    -9999.000000
    11     5  1985    -9999.000000
    12     5  1985    -9999.000000
    13     5  1985    -9999.000000
    14     5  1985    -9999.000000
    15     5  1985    -9999.000000
    16     5  1985    -9999.000000
    17     5  1985    -9999.000000
    18     5  1985    -9999.000000
    19     5  1985    -9999.000000
    20     5  1985    -9999.000000
    21     5  1985    -9999.000000
    22     5  1985    -9999.000000
    23     5  1985    -9999.000000
    24     5  1985    -9999.000000
    25     5  1985    -9999.000000
    26     5  1985    -9999.000000
    27     5  1985    -9999.000000
    28     5  1985    -9999.000000
    29     5  1985    -9999.000000
    30     5  1985    -9999.000000
    31     5  1985    -9999.000000
     1     6  1985    -9999.000000
     2     6  1985    -9999.000000
     3     6  1985    -9999.000000
     4     6  1985    -9999.000000
     5     6  1985    -9999.000000
     6     6  1985    -9999.000000
     7     6  1985    -9999.000000
     8     6  1985    -9999.000000
     9     6  1985    -9999.000000
    10     6  1985    -9999.000000
    11     6  1985    -9999.000000
    12     6  1985    -9999.000000
    13     6  1985    -9999.000000
    14     6  1985    -9999.000000
    15     6  1985    -9999.000000
    16     6  1985    -9999.000000
    17     6  1985    -9999.000000
    18     6  1985    -9999.000000
    19     6  1985    -9999.000000
    20     6  1985    -9999.000000
    21     6  1985    -9999.000000
    22     6  1985    -9999.000000
    23     6  1985    -9999.000000
    24     6  1985    -9999.000000
    25     6  1985    -9999.000000
    26     6  1985    -9999.000000
    27     6  1985    -9999.000000
    28     6  1985    -9999.000000
    29     6  1985    -9999.000000
    30     6  1985    -9999.000000
     1     7  1985    -9999.000000
     2     7  1985    -9999.000000
     3     7  1985    -9999.000000
     4     7  1985    -9999.000000
     5     7  1985    -9999.000000
     6     7  1985    -9999.000000
     7     7  1985    -9999.000000
     8     7  1985    -9999.000000
     9     7  1985    -9999.000000
    10     7  1985    -9999.000000
    11     7  1985    -9999.000000
    12     7  1985    -9999.000000
    13     7  1985    -9999.000000
    14     7  1985    -9999.000000
    15     7  1985    -9999.000000
    16     7  1985    -9999.000000
    17     7  1985    -9999.000000
    18     7  1985    -9999.000000
    19     7  1985    -9999.000000
    20     7  1985    -9999.000000
    21     7  1985    -9999.000000
    22     7  1985    -9999.000000
    23     7  1985    -9999.000000
    24     7  1985    -9999.000000
    25     7  1985    -9999.000000
    26     7  1985    -9999.000000
    27     7  1985    -9999.000000
    28     7  1985    -9999.000000
    29     7  1985    -9999.000000
    30     7  1985    -9999.000000
    31     7  1985    -9999.000000
     1     8  1985    -9999.000000
     2     8  1985    -9999.000000
     3     8  1985    -9999.000000
     4     8  1985    -9999.000000
     5     8  1985    -9999.000000
     6     8  1985    -9999.000000
     7     8  1985    -9999.000000
     8     8  1985    -9999.000000
     9     8  1985    -9999.000000
    10     8  1985    -9999.000000
    11     8  1985    -9999.000000
    12     8  1985    -9999.000000
    13     8  1985    -9999.000000
    14     8  1985    -9999.000000
    15     8  1985    -9999.000000
    16     8  1985    -9999.000000
    17     8  1985    -9999.000000
    18     8  1985    -9999.000000
    19     8  1985    -9999.000000
    20     8  1985    -9999.000000
    21     8  1985    -9999.000000
    22     8  1985    -9999.000000
    23     8  1985    -9999.000000
    24     8  1985    -9999.000000
    25     8  1985    -9999.000000
    26     8  1985    -9999.000000
    27     8  1985    -9999.000000
    28     8  1985    -9999.000000
    29     8  1985    -9999.000000
    30     8  1985    -9999.000000
    31     8  1985    -9999.000000
