ASSISBRASIL	-69.550	-10.933
    19     8  1984      244.000000
    20     8  1984      242.000000
    21     8  1984      242.000000
    22     8  1984      242.000000
    23     8  1984      242.000000
    24     8  1984      242.000000
    25     8  1984      244.000000
    26     8  1984      246.000000
    27     8  1984      246.000000
    28     8  1984      248.000000
    29     8  1984      246.000000
    30     8  1984      246.000000
    31     8  1984      244.000000
     1     9  1984      244.000000
     2     9  1984      244.000000
     3     9  1984      244.000000
     4     9  1984      244.000000
     5     9  1984      244.000000
     6     9  1984      244.000000
     7     9  1984      244.000000
     8     9  1984      253.000000
     9     9  1984      284.000000
    10     9  1984      260.000000
    11     9  1984      255.000000
    12     9  1984      254.000000
    13     9  1984      251.000000
    14     9  1984      246.000000
    15     9  1984      242.000000
    16     9  1984      242.000000
    17     9  1984      247.000000
    18     9  1984      249.000000
    19     9  1984      246.000000
    20     9  1984      244.000000
    21     9  1984      242.000000
    22     9  1984      258.000000
    23     9  1984      267.000000
    24     9  1984      255.000000
    25     9  1984      251.000000
    26     9  1984      250.000000
    27     9  1984      248.000000
    28     9  1984      246.000000
    29     9  1984      243.000000
    30     9  1984      244.000000
     1    10  1984      244.000000
     2    10  1984      246.000000
     3    10  1984      244.000000
     4    10  1984      247.000000
     5    10  1984      255.000000
     6    10  1984      255.000000
     7    10  1984      251.000000
     8    10  1984      248.000000
     9    10  1984      248.000000
    10    10  1984      246.000000
    11    10  1984      245.000000
    12    10  1984      249.000000
    13    10  1984      250.000000
    14    10  1984      253.000000
    15    10  1984      255.000000
    16    10  1984      308.000000
    17    10  1984      291.000000
    18    10  1984      311.000000
    19    10  1984      332.000000
    20    10  1984      394.000000
    21    10  1984      386.000000
    22    10  1984      329.000000
    23    10  1984      346.000000
    24    10  1984      288.000000
    25    10  1984      376.000000
    26    10  1984      393.000000
    27    10  1984      323.000000
    28    10  1984      296.000000
    29    10  1984      305.000000
    30    10  1984      323.000000
    31    10  1984      310.000000
     1    11  1984      604.000000
     2    11  1984      475.000000
     3    11  1984      344.000000
     4    11  1984      334.000000
     5    11  1984      349.000000
     6    11  1984      397.000000
     7    11  1984      376.000000
     8    11  1984      312.000000
     9    11  1984      282.000000
    10    11  1984      340.000000
    11    11  1984      396.000000
    12    11  1984      401.000000
    13    11  1984      352.000000
    14    11  1984      437.000000
    15    11  1984      426.000000
    16    11  1984      393.000000
    17    11  1984      363.000000
    18    11  1984      320.000000
    19    11  1984      633.000000
    20    11  1984      500.000000
    21    11  1984      386.000000
    22    11  1984      343.000000
    23    11  1984      427.000000
    24    11  1984      458.000000
    25    11  1984      537.000000
    26    11  1984      373.000000
    27    11  1984      355.000000
    28    11  1984      349.000000
    29    11  1984      356.000000
    30    11  1984      412.000000
     1    12  1984      388.000000
     2    12  1984      373.000000
     3    12  1984      332.000000
     4    12  1984      398.000000
     5    12  1984      479.000000
     6    12  1984      416.000000
     7    12  1984      366.000000
     8    12  1984      433.000000
     9    12  1984      682.000000
    10    12  1984      982.000000
    11    12  1984      706.000000
    12    12  1984      441.000000
    13    12  1984      393.000000
    14    12  1984      375.000000
    15    12  1984      361.000000
    16    12  1984      357.000000
    17    12  1984      353.000000
    18    12  1984      357.000000
    19    12  1984      356.000000
    20    12  1984      344.000000
    21    12  1984      338.000000
    22    12  1984      339.000000
    23    12  1984      374.000000
    24    12  1984      380.000000
    25    12  1984      351.000000
    26    12  1984      330.000000
    27    12  1984      411.000000
    28    12  1984      412.000000
    29    12  1984      407.000000
    30    12  1984      393.000000
    31    12  1984      374.000000
     1     1  1985      375.000000
     2     1  1985      385.000000
     3     1  1985      354.000000
     4     1  1985      334.000000
     5     1  1985      364.000000
     6     1  1985      397.000000
     7     1  1985      694.000000
     8     1  1985      552.000000
     9     1  1985      431.000000
    10     1  1985      493.000000
    11     1  1985      464.000000
    12     1  1985      445.000000
    13     1  1985      405.000000
    14     1  1985      380.000000
    15     1  1985      371.000000
    16     1  1985      358.000000
    17     1  1985      546.000000
    18     1  1985      646.000000
    19     1  1985      474.000000
    20     1  1985      433.000000
    21     1  1985      475.000000
    22     1  1985      450.000000
    23     1  1985      473.000000
    24     1  1985      512.000000
    25     1  1985      491.000000
    26     1  1985      426.000000
    27     1  1985      362.000000
    28     1  1985      358.000000
    29     1  1985      439.000000
    30     1  1985      392.000000
    31     1  1985      355.000000
     1     2  1985      352.000000
     2     2  1985      346.000000
     3     2  1985      323.000000
     4     2  1985      315.000000
     5     2  1985      309.000000
     6     2  1985      321.000000
     7     2  1985      312.000000
     8     2  1985      323.000000
     9     2  1985      322.000000
    10     2  1985      358.000000
    11     2  1985      372.000000
    12     2  1985      349.000000
    13     2  1985      326.000000
    14     2  1985      315.000000
    15     2  1985      327.000000
    16     2  1985      340.000000
    17     2  1985      359.000000
    18     2  1985      371.000000
    19     2  1985      380.000000
    20     2  1985      427.000000
    21     2  1985      412.000000
    22     2  1985      368.000000
    23     2  1985      505.000000
    24     2  1985      444.000000
    25     2  1985      388.000000
    26     2  1985      379.000000
    27     2  1985      398.000000
    28     2  1985      558.000000
     1     3  1985      474.000000
     2     3  1985      447.000000
     3     3  1985      635.000000
     4     3  1985      690.000000
     5     3  1985      524.000000
     6     3  1985      449.000000
     7     3  1985      428.000000
     8     3  1985      540.000000
     9     3  1985      480.000000
    10     3  1985      459.000000
    11     3  1985      411.000000
    12     3  1985      375.000000
    13     3  1985      428.000000
    14     3  1985      650.000000
    15     3  1985      560.000000
    16     3  1985      389.000000
    17     3  1985      372.000000
    18     3  1985      389.000000
    19     3  1985      444.000000
    20     3  1985      811.000000
    21     3  1985      607.000000
    22     3  1985      477.000000
    23     3  1985      371.000000
    24     3  1985      351.000000
    25     3  1985      344.000000
    26     3  1985      427.000000
    27     3  1985      439.000000
    28     3  1985      396.000000
    29     3  1985      373.000000
    30     3  1985      408.000000
    31     3  1985      634.000000
     1     4  1985      642.000000
     2     4  1985      467.000000
     3     4  1985      424.000000
     4     4  1985      390.000000
     5     4  1985      449.000000
     6     4  1985      486.000000
     7     4  1985      420.000000
     8     4  1985      397.000000
     9     4  1985      651.000000
    10     4  1985      473.000000
    11     4  1985      412.000000
    12     4  1985      423.000000
    13     4  1985      445.000000
    14     4  1985      409.000000
    15     4  1985      395.000000
    16     4  1985      374.000000
    17     4  1985      336.000000
    18     4  1985      339.000000
    19     4  1985      578.000000
    20     4  1985      483.000000
    21     4  1985      456.000000
    22     4  1985      447.000000
    23     4  1985      438.000000
    24     4  1985      542.000000
    25     4  1985      581.000000
    26     4  1985      479.000000
    27     4  1985      457.000000
    28     4  1985      433.000000
    29     4  1985      406.000000
    30     4  1985      447.000000
     1     5  1985      610.000000
     2     5  1985      489.000000
     3     5  1985      425.000000
     4     5  1985      388.000000
     5     5  1985      376.000000
     6     5  1985      366.000000
     7     5  1985      351.000000
     8     5  1985      341.000000
     9     5  1985      339.000000
    10     5  1985      329.000000
    11     5  1985      322.000000
    12     5  1985      321.000000
    13     5  1985      351.000000
    14     5  1985      353.000000
    15     5  1985      407.000000
    16     5  1985      378.000000
    17     5  1985      349.000000
    18     5  1985      326.000000
    19     5  1985      317.000000
    20     5  1985      326.000000
    21     5  1985      340.000000
    22     5  1985      350.000000
    23     5  1985      339.000000
    24     5  1985      325.000000
    25     5  1985      316.000000
    26     5  1985      308.000000
    27     5  1985      319.000000
