FAZENDAPASSARÃO	-60.571	3.208
    12     3  1985      542.000000
    13     3  1985      543.000000
    14     3  1985      544.000000
    15     3  1985      542.000000
    16     3  1985      538.000000
    17     3  1985      534.000000
    18     3  1985      531.000000
    19     3  1985      529.000000
    20     3  1985      524.000000
    21     3  1985      522.000000
    22     3  1985      522.000000
    23     3  1985      522.000000
    24     3  1985      522.000000
    25     3  1985      520.000000
    26     3  1985      520.000000
    27     3  1985      520.000000
    28     3  1985      520.000000
    29     3  1985      520.000000
    30     3  1985      523.000000
    31     3  1985      528.000000
     1     4  1985      535.000000
     2     4  1985      535.000000
     3     4  1985      530.000000
     4     4  1985      530.000000
     5     4  1985      525.000000
     6     4  1985      520.000000
     7     4  1985      520.000000
     8     4  1985      520.000000
     9     4  1985      519.000000
    10     4  1985      517.000000
    11     4  1985      516.000000
    12     4  1985      510.000000
    13     4  1985      510.000000
    14     4  1985      508.000000
    15     4  1985      505.000000
    16     4  1985      505.000000
    17     4  1985      505.000000
    18     4  1985      505.000000
    19     4  1985      505.000000
    20     4  1985      503.000000
    21     4  1985      500.000000
    22     4  1985      500.000000
    23     4  1985      500.000000
    24     4  1985      500.000000
    25     4  1985      505.000000
    26     4  1985      511.000000
    27     4  1985      516.000000
    28     4  1985      522.000000
    29     4  1985      527.000000
    30     4  1985      537.000000
     1     5  1985      550.000000
     2     5  1985      558.000000
     3     5  1985      562.000000
     4     5  1985      570.000000
     5     5  1985      561.000000
     6     5  1985      566.000000
     7     5  1985      572.000000
     8     5  1985      587.000000
     9     5  1985      589.000000
    10     5  1985      580.000000
    11     5  1985      573.000000
    12     5  1985      573.000000
    13     5  1985      584.000000
    14     5  1985      639.000000
    15     5  1985      661.000000
    16     5  1985      668.000000
    17     5  1985      663.000000
    18     5  1985      661.000000
    19     5  1985      660.000000
    20     5  1985      656.000000
    21     5  1985      649.000000
    22     5  1985      644.000000
    23     5  1985      639.000000
    24     5  1985      633.000000
    25     5  1985      626.000000
    26     5  1985      641.000000
    27     5  1985      672.000000
    28     5  1985      691.000000
    29     5  1985      705.000000
    30     5  1985      718.000000
    31     5  1985      731.000000
     1     6  1985      731.000000
     2     6  1985      735.000000
     3     6  1985      779.000000
     4     6  1985      789.000000
     5     6  1985      796.000000
     6     6  1985      801.000000
     7     6  1985      812.000000
     8     6  1985      827.000000
     9     6  1985      830.000000
    10     6  1985      835.000000
    11     6  1985      847.000000
    12     6  1985      868.000000
    13     6  1985      883.000000
    14     6  1985      892.000000
    15     6  1985      899.000000
    16     6  1985      893.000000
    17     6  1985      879.000000
    18     6  1985      863.000000
    19     6  1985      855.000000
    20     6  1985      876.000000
    21     6  1985      868.000000
    22     6  1985      832.000000
    23     6  1985      801.000000
    24     6  1985      835.000000
    25     6  1985      848.000000
    26     6  1985      845.000000
    27     6  1985      844.000000
    28     6  1985      849.000000
    29     6  1985      862.000000
    30     6  1985      838.000000
     1     7  1985      814.000000
     2     7  1985      806.000000
     3     7  1985      830.000000
     4     7  1985      927.000000
     5     7  1985      980.000000
     6     7  1985      939.000000
     7     7  1985      900.000000
     8     7  1985      854.000000
     9     7  1985      827.000000
    10     7  1985      825.000000
    11     7  1985      819.000000
    12     7  1985      803.000000
    13     7  1985      806.000000
    14     7  1985      796.000000
    15     7  1985      791.000000
    16     7  1985      796.000000
    17     7  1985      810.000000
    18     7  1985      859.000000
    19     7  1985      909.000000
    20     7  1985      909.000000
    21     7  1985      901.000000
    22     7  1985      937.000000
    23     7  1985     1018.000000
    24     7  1985     1040.000000
    25     7  1985      983.000000
    26     7  1985      951.000000
    27     7  1985      939.000000
    28     7  1985      918.000000
    29     7  1985      892.000000
    30     7  1985      876.000000
    31     7  1985      873.000000
     1     8  1985      872.000000
     2     8  1985      860.000000
     3     8  1985      844.000000
     4     8  1985      845.000000
     5     8  1985      862.000000
     6     8  1985      916.000000
     7     8  1985      975.000000
     8     8  1985      978.000000
     9     8  1985     1037.000000
    10     8  1985     1058.000000
    11     8  1985     1058.000000
    12     8  1985     1075.000000
    13     8  1985     1069.000000
    14     8  1985     1049.000000
    15     8  1985     1034.000000
    16     8  1985     1020.000000
