TABATINGA	-69.933	-4.250
    24    11  1984      491.000000
    25    11  1984      520.000000
    26    11  1984      546.000000
    27    11  1984      573.000000
    28    11  1984      615.000000
    29    11  1984      649.000000
    30    11  1984      680.000000
     1    12  1984      723.000000
     2    12  1984      764.000000
     3    12  1984      798.000000
     4    12  1984      829.000000
     5    12  1984      858.000000
     6    12  1984      883.000000
     7    12  1984      901.000000
     8    12  1984      920.000000
     9    12  1984      934.000000
    10    12  1984      941.000000
    11    12  1984      946.000000
    12    12  1984      954.000000
    13    12  1984      959.000000
    14    12  1984      959.000000
    15    12  1984      958.000000
    16    12  1984      952.000000
    17    12  1984      947.000000
    18    12  1984      944.000000
    19    12  1984      941.000000
    20    12  1984      936.000000
    21    12  1984      931.000000
    22    12  1984      922.000000
    23    12  1984      914.000000
    24    12  1984      906.000000
    25    12  1984      901.000000
    26    12  1984      896.000000
    27    12  1984      900.000000
    28    12  1984      910.000000
    29    12  1984      923.000000
    30    12  1984      937.000000
    31    12  1984      948.000000
     1     1  1985      957.000000
     2     1  1985      967.000000
     3     1  1985      973.000000
     4     1  1985      977.000000
     5     1  1985      980.000000
     6     1  1985      980.000000
     7     1  1985      977.000000
     8     1  1985      974.000000
     9     1  1985      966.000000
    10     1  1985      958.000000
    11     1  1985      946.000000
    12     1  1985      930.000000
    13     1  1985      916.000000
    14     1  1985      896.000000
    15     1  1985      876.000000
    16     1  1985      858.000000
    17     1  1985      838.000000
    18     1  1985      815.000000
    19     1  1985      794.000000
    20     1  1985      775.000000
    21     1  1985      757.000000
    22     1  1985      739.000000
    23     1  1985      727.000000
    24     1  1985      710.000000
    25     1  1985      696.000000
    26     1  1985      678.000000
    27     1  1985      660.000000
    28     1  1985      636.000000
    29     1  1985      614.000000
    30     1  1985      597.000000
    31     1  1985      583.000000
     1     2  1985      568.000000
     2     2  1985      552.000000
     3     2  1985      535.000000
     4     2  1985      516.000000
     5     2  1985      498.000000
     6     2  1985      492.000000
     7     2  1985      490.000000
     8     2  1985      493.000000
     9     2  1985      503.000000
    10     2  1985      515.000000
    11     2  1985      526.000000
    12     2  1985      536.000000
    13     2  1985      544.000000
    14     2  1985      551.000000
    15     2  1985      554.000000
    16     2  1985      554.000000
    17     2  1985      559.000000
    18     2  1985      568.000000
    19     2  1985      588.000000
    20     2  1985      610.000000
    21     2  1985      634.000000
    22     2  1985      658.000000
    23     2  1985      677.000000
    24     2  1985      689.000000
    25     2  1985      695.000000
    26     2  1985      696.000000
    27     2  1985      693.000000
    28     2  1985      689.000000
     1     3  1985      682.000000
     2     3  1985      671.000000
     3     3  1985      662.000000
     4     3  1985      655.000000
     5     3  1985      650.000000
     6     3  1985      656.000000
     7     3  1985      664.000000
     8     3  1985      678.000000
     9     3  1985      702.000000
    10     3  1985      725.000000
    11     3  1985      747.000000
    12     3  1985      772.000000
    13     3  1985      798.000000
    14     3  1985      828.000000
    15     3  1985      842.000000
    16     3  1985      853.000000
    17     3  1985      856.000000
    18     3  1985      856.000000
    19     3  1985      856.000000
    20     3  1985      854.000000
    21     3  1985      852.000000
    22     3  1985      847.000000
    23     3  1985      842.000000
    24     3  1985      834.000000
    25     3  1985      826.000000
    26     3  1985      816.000000
    27     3  1985      806.000000
    28     3  1985      802.000000
    29     3  1985      797.000000
    30     3  1985      793.000000
    31     3  1985      789.000000
     1     4  1985      786.000000
     2     4  1985      784.000000
     3     4  1985      784.000000
     4     4  1985      784.000000
     5     4  1985      793.000000
     6     4  1985      808.000000
     7     4  1985      824.000000
     8     4  1985      836.000000
     9     4  1985      850.000000
    10     4  1985      862.000000
    11     4  1985      874.000000
    12     4  1985      884.000000
    13     4  1985      898.000000
    14     4  1985      910.000000
    15     4  1985      920.000000
    16     4  1985      928.000000
    17     4  1985      934.000000
    18     4  1985      940.000000
    19     4  1985      942.000000
    20     4  1985      946.000000
    21     4  1985      948.000000
    22     4  1985      950.000000
    23     4  1985      952.000000
    24     4  1985      952.000000
    25     4  1985      952.000000
    26     4  1985      952.000000
    27     4  1985      954.000000
    28     4  1985      955.000000
    29     4  1985      956.000000
    30     4  1985      956.000000
     1     5  1985      958.000000
     2     5  1985      958.000000
     3     5  1985      962.000000
     4     5  1985      963.000000
     5     5  1985      963.000000
     6     5  1985      960.000000
     7     5  1985      957.000000
     8     5  1985      952.000000
     9     5  1985      946.000000
    10     5  1985      941.000000
    11     5  1985      939.000000
    12     5  1985      933.000000
    13     5  1985      925.000000
    14     5  1985      918.000000
    15     5  1985      910.000000
    16     5  1985      902.000000
    17     5  1985      897.000000
    18     5  1985      888.000000
    19     5  1985      883.000000
    20     5  1985      877.000000
    21     5  1985      872.000000
    22     5  1985      867.000000
    23     5  1985      866.000000
    24     5  1985      866.000000
    25     5  1985      866.000000
    26     5  1985      871.000000
    27     5  1985      878.000000
    28     5  1985      887.000000
    29     5  1985      893.000000
    30     5  1985      900.000000
