BARCELOS	-62.931	-0.966
     4    10  1984      529.000000
     5    10  1984      527.000000
     6    10  1984      523.000000
     7    10  1984      518.000000
     8    10  1984      512.000000
     9    10  1984      509.000000
    10    10  1984      504.000000
    11    10  1984      499.000000
    12    10  1984      494.000000
    13    10  1984      489.000000
    14    10  1984      485.000000
    15    10  1984      482.000000
    16    10  1984      479.000000
    17    10  1984      477.000000
    18    10  1984      473.000000
    19    10  1984      470.000000
    20    10  1984      467.000000
    21    10  1984      469.000000
    22    10  1984      471.000000
    23    10  1984      473.000000
    24    10  1984      475.000000
    25    10  1984      476.000000
    26    10  1984      477.000000
    27    10  1984      479.000000
    28    10  1984      480.000000
    29    10  1984      482.000000
    30    10  1984      483.000000
    31    10  1984      485.000000
     1    11  1984      484.000000
     2    11  1984      481.000000
     3    11  1984      477.000000
     4    11  1984      472.000000
     5    11  1984      469.000000
     6    11  1984      465.000000
     7    11  1984      460.000000
     8    11  1984      455.000000
     9    11  1984      451.000000
    10    11  1984      448.000000
    11    11  1984      446.000000
    12    11  1984      444.000000
    13    11  1984      441.000000
    14    11  1984      438.000000
    15    11  1984      435.000000
    16    11  1984      433.000000
    17    11  1984      431.000000
    18    11  1984      430.000000
    19    11  1984      428.000000
    20    11  1984      426.000000
    21    11  1984      423.000000
    22    11  1984      419.000000
    23    11  1984      414.000000
    24    11  1984      409.000000
    25    11  1984      407.000000
    26    11  1984      404.000000
    27    11  1984      402.000000
    28    11  1984      399.000000
    29    11  1984      396.000000
    30    11  1984      392.000000
     1    12  1984      381.000000
     2    12  1984      378.000000
     3    12  1984      377.000000
     4    12  1984      378.000000
     5    12  1984      381.000000
     6    12  1984      384.000000
     7    12  1984      384.000000
     8    12  1984      383.000000
     9    12  1984      381.000000
    10    12  1984      379.000000
    11    12  1984      377.000000
    12    12  1984      375.000000
    13    12  1984      373.000000
    14    12  1984      371.000000
    15    12  1984      367.000000
    16    12  1984      364.000000
    17    12  1984      360.000000
    18    12  1984      358.000000
    19    12  1984      356.000000
    20    12  1984      356.000000
    21    12  1984      358.000000
    22    12  1984      366.000000
    23    12  1984      371.000000
    24    12  1984      378.000000
    25    12  1984      384.000000
    26    12  1984      389.000000
    27    12  1984      394.000000
    28    12  1984      398.000000
    29    12  1984      401.000000
    30    12  1984      405.000000
    31    12  1984      407.000000
     1     1  1985      409.000000
     2     1  1985      411.000000
     3     1  1985      413.000000
     4     1  1985      416.000000
     5     1  1985      427.000000
     6     1  1985      436.000000
     7     1  1985      446.000000
     8     1  1985      457.000000
     9     1  1985      467.000000
    10     1  1985      473.000000
    11     1  1985      481.000000
    12     1  1985      490.000000
    13     1  1985      501.000000
    14     1  1985      511.000000
    15     1  1985      504.000000
    16     1  1985      500.000000
    17     1  1985      501.000000
    18     1  1985      501.000000
    19     1  1985      500.000000
    20     1  1985      498.000000
    21     1  1985      496.000000
    22     1  1985      493.000000
    23     1  1985      486.000000
    24     1  1985      482.000000
    25     1  1985      477.000000
    26     1  1985      468.000000
    27     1  1985      458.000000
    28     1  1985      446.000000
    29     1  1985      437.000000
    30     1  1985      429.000000
    31     1  1985      419.000000
     1     2  1985      408.000000
     2     2  1985      398.000000
     3     2  1985      389.000000
     4     2  1985      382.000000
     5     2  1985      375.000000
     6     2  1985      363.000000
     7     2  1985      354.000000
     8     2  1985      344.000000
     9     2  1985      340.000000
    10     2  1985      323.000000
    11     2  1985      314.000000
    12     2  1985      304.000000
    13     2  1985      289.000000
    14     2  1985      273.000000
    15     2  1985      261.000000
    16     2  1985      255.000000
    17     2  1985      251.000000
    18     2  1985      247.000000
    19     2  1985      243.000000
    20     2  1985      240.000000
    21     2  1985      237.000000
    22     2  1985      234.000000
    23     2  1985      231.000000
    24     2  1985      227.000000
    25     2  1985      223.000000
    26     2  1985      219.000000
    27     2  1985      215.000000
    28     2  1985      212.000000
     1     3  1985      215.000000
     2     3  1985      214.000000
     3     3  1985      212.000000
     4     3  1985      213.000000
     5     3  1985      214.000000
     6     3  1985      213.000000
     7     3  1985      209.000000
     8     3  1985      205.000000
     9     3  1985      200.000000
    10     3  1985      198.000000
    11     3  1985      201.000000
    12     3  1985      202.000000
    13     3  1985      204.000000
    14     3  1985      205.000000
    15     3  1985      205.000000
    16     3  1985      204.000000
    17     3  1985      204.000000
    18     3  1985      204.000000
    19     3  1985      205.000000
    20     3  1985      205.000000
    21     3  1985      204.000000
    22     3  1985      201.000000
    23     3  1985      198.000000
    24     3  1985      195.000000
    25     3  1985      195.000000
    26     3  1985      195.000000
    27     3  1985      195.000000
    28     3  1985      195.000000
    29     3  1985      195.000000
    30     3  1985      196.000000
    31     3  1985      197.000000
     1     4  1985      198.000000
     2     4  1985      199.000000
     3     4  1985      200.000000
     4     4  1985      201.000000
     5     4  1985      203.000000
     6     4  1985      206.000000
     7     4  1985      210.000000
     8     4  1985      213.000000
     9     4  1985      216.000000
    10     4  1985      217.000000
    11     4  1985      217.000000
    12     4  1985      217.000000
    13     4  1985      216.000000
    14     4  1985      214.000000
    15     4  1985      211.000000
    16     4  1985      208.000000
    17     4  1985      205.000000
    18     4  1985      201.000000
    19     4  1985      197.000000
    20     4  1985      192.000000
    21     4  1985      192.000000
    22     4  1985      181.000000
    23     4  1985      177.000000
    24     4  1985      172.000000
    25     4  1985      167.000000
    26     4  1985      165.000000
    27     4  1985      161.000000
    28     4  1985      158.000000
    29     4  1985      156.000000
    30     4  1985      155.000000
     1     5  1985      155.000000
     2     5  1985      160.000000
     3     5  1985      169.000000
     4     5  1985      173.000000
     5     5  1985      187.000000
     6     5  1985      198.000000
     7     5  1985      213.000000
     8     5  1985      226.000000
     9     5  1985      238.000000
    10     5  1985      253.000000
    11     5  1985      267.000000
    12     5  1985      271.000000
    13     5  1985      285.000000
    14     5  1985      298.000000
    15     5  1985      313.000000
    16     5  1985      329.000000
    17     5  1985      346.000000
    18     5  1985      362.000000
    19     5  1985      377.000000
    20     5  1985      389.000000
    21     5  1985      397.000000
    22     5  1985      406.000000
    23     5  1985      418.000000
    24     5  1985      426.000000
    25     5  1985      434.000000
    26     5  1985      443.000000
    27     5  1985      451.000000
    28     5  1985      456.000000
    29     5  1985      462.000000
    30     5  1985      468.000000
    31     5  1985      473.000000
     1     6  1985      481.000000
     2     6  1985      492.000000
     3     6  1985      500.000000
     4     6  1985      507.000000
     5     6  1985      518.000000
     6     6  1985      528.000000
     7     6  1985      538.000000
     8     6  1985      548.000000
     9     6  1985      554.000000
    10     6  1985      570.000000
    11     6  1985      576.000000
    12     6  1985      588.000000
    13     6  1985      606.000000
    14     6  1985      620.000000
    15     6  1985      634.000000
    16     6  1985      647.000000
    17     6  1985      661.000000
    18     6  1985      676.000000
    19     6  1985      691.000000
    20     6  1985      702.000000
    21     6  1985      714.000000
    22     6  1985      723.000000
    23     6  1985      733.000000
    24     6  1985      740.000000
    25     6  1985      745.000000
    26     6  1985      747.000000
    27     6  1985      749.000000
    28     6  1985      754.000000
    29     6  1985      756.000000
    30     6  1985      761.000000
     1     7  1985      762.000000
     2     7  1985      762.000000
     3     7  1985      762.000000
     4     7  1985      758.000000
     5     7  1985      754.000000
     6     7  1985      750.000000
     7     7  1985      748.000000
     8     7  1985      743.000000
     9     7  1985      740.000000
    10     7  1985      738.000000
    11     7  1985      736.000000
    12     7  1985      731.000000
    13     7  1985      727.000000
    14     7  1985      723.000000
    15     7  1985      719.000000
    16     7  1985      715.000000
    17     7  1985      712.000000
    18     7  1985      710.000000
    19     7  1985      708.000000
    20     7  1985      703.000000
    21     7  1985      701.000000
    22     7  1985      699.000000
    23     7  1985      698.000000
    24     7  1985      697.000000
    25     7  1985      697.000000
    26     7  1985      697.000000
    27     7  1985      698.000000
    28     7  1985      700.000000
    29     7  1985      702.000000
    30     7  1985      704.000000
    31     7  1985      708.000000
     1     8  1985      711.000000
     2     8  1985      714.000000
     3     8  1985      718.000000
     4     8  1985      721.000000
     5     8  1985      725.000000
     6     8  1985      726.000000
     7     8  1985      728.000000
     8     8  1985      729.000000
     9     8  1985      729.000000
    10     8  1985      729.000000
    11     8  1985      729.000000
    12     8  1985      728.000000
    13     8  1985      727.000000
    14     8  1985      725.000000
    15     8  1985      724.000000
    16     8  1985      723.000000
    17     8  1985      722.000000
    18     8  1985      722.000000
    19     8  1985      720.000000
    20     8  1985      719.000000
    21     8  1985      719.000000
    22     8  1985      719.000000
    23     8  1985      718.000000
    24     8  1985      718.000000
    25     8  1985      718.000000
    26     8  1985      718.000000
    27     8  1985      717.000000
    28     8  1985      716.000000
    29     8  1985      714.000000
    30     8  1985      713.000000
    31     8  1985      711.000000
     1     9  1985      710.000000
     2     9  1985      708.000000
     3     9  1985      707.000000
     4     9  1985      705.000000
     5     9  1985      702.000000
     6     9  1985      699.000000
     7     9  1985      696.000000
     8     9  1985      693.000000
     9     9  1985      692.000000
    10     9  1985      688.000000
    11     9  1985      683.000000
    12     9  1985      675.000000
    13     9  1985      670.000000
    14     9  1985      667.000000
    15     9  1985      664.000000
    16     9  1985      660.000000
    17     9  1985      656.000000
    18     9  1985      653.000000
    19     9  1985      649.000000
    20     9  1985      644.000000
    21     9  1985      639.000000
    22     9  1985      634.000000
    23     9  1985      627.000000
    24     9  1985      621.000000
    25     9  1985      614.000000
    26     9  1985      606.000000
    27     9  1985      598.000000
    28     9  1985      591.000000
    29     9  1985      584.000000
    30     9  1985      577.000000
     1    10  1985      569.000000
     2    10  1985      560.000000
     3    10  1985      551.000000
     4    10  1985      542.000000
     5    10  1985      532.000000
     6    10  1985      523.000000
     7    10  1985      515.000000
     8    10  1985      510.000000
     9    10  1985      502.000000
    10    10  1985      494.000000
    11    10  1985      487.000000
    12    10  1985      480.000000
    13    10  1985      477.000000
    14    10  1985      472.000000
    15    10  1985      468.000000
    16    10  1985      464.000000
    17    10  1985      461.000000
    18    10  1985      458.000000
    19    10  1985      457.000000
    20    10  1985      454.000000
    21    10  1985      453.000000
    22    10  1985      452.000000
    23    10  1985      451.000000
    24    10  1985      450.000000
    25    10  1985      449.000000
    26    10  1985      447.000000
    27    10  1985      447.000000
    28    10  1985      445.000000
    29    10  1985      443.000000
    30    10  1985      442.000000
    31    10  1985      439.000000
     1    11  1985      435.000000
     2    11  1985      429.000000
     3    11  1985      424.000000
     4    11  1985      419.000000
     5    11  1985      414.000000
     6    11  1985      406.000000
     7    11  1985      398.000000
     8    11  1985      393.000000
     9    11  1985      389.000000
    10    11  1985      388.000000
    11    11  1985      382.000000
    12    11  1985      376.000000
    13    11  1985      368.000000
    14    11  1985      363.000000
    15    11  1985      357.000000
    16    11  1985      352.000000
    17    11  1985      348.000000
    18    11  1985      344.000000
    19    11  1985      340.000000
    20    11  1985      337.000000
    21    11  1985      336.000000
    22    11  1985      336.000000
    23    11  1985      337.000000
    24    11  1985      340.000000
    25    11  1985      345.000000
    26    11  1985      353.000000
    27    11  1985      356.000000
    28    11  1985      360.000000
    29    11  1985      367.000000
    30    11  1985      372.000000
     1    12  1985      380.000000
     2    12  1985      385.000000
     3    12  1985      392.000000
     4    12  1985      398.000000
     5    12  1985      401.000000
