ESTIRÃODOREPOUSO	-70.933	-4.367
     2     8  1985      629.000000
     3     8  1985      638.000000
     4     8  1985      646.000000
     5     8  1985      656.000000
     6     8  1985      660.000000
     7     8  1985      660.000000
     8     8  1985      659.000000
     9     8  1985      654.000000
    10     8  1985      643.000000
    11     8  1985      632.000000
    12     8  1985      628.000000
    13     8  1985      622.000000
    14     8  1985      610.000000
    15     8  1985      590.000000
    16     8  1985      568.000000
    17     8  1985      547.000000
    18     8  1985      530.000000
    19     8  1985      512.000000
    20     8  1985      526.000000
    21     8  1985      552.000000
    22     8  1985      574.000000
    23     8  1985      593.000000
    24     8  1985      620.000000
    25     8  1985      645.000000
    26     8  1985      657.000000
    27     8  1985      662.000000
    28     8  1985      666.000000
    29     8  1985      719.000000
    30     8  1985      772.000000
    31     8  1985      784.000000
     1     9  1985      792.000000
     2     9  1985      776.000000
     3     9  1985      758.000000
     4     9  1985      745.000000
     5     9  1985      725.000000
     6     9  1985      680.000000
     7     9  1985      645.000000
     8     9  1985      608.000000
     9     9  1985      580.000000
    10     9  1985      554.000000
    11     9  1985      532.000000
    12     9  1985      513.000000
    13     9  1985      494.000000
    14     9  1985      490.000000
    15     9  1985      511.000000
    16     9  1985      535.000000
    17     9  1985      548.000000
    18     9  1985      557.000000
    19     9  1985      575.000000
    20     9  1985      595.000000
    21     9  1985      636.000000
    22     9  1985      684.000000
    23     9  1985      698.000000
    24     9  1985      707.000000
    25     9  1985      708.000000
    26     9  1985      712.000000
    27     9  1985      739.000000
    28     9  1985      762.000000
    29     9  1985      790.000000
    30     9  1985      836.000000
     1    10  1985      903.000000
     2    10  1985      953.000000
     3    10  1985      964.000000
     4    10  1985      968.000000
     5    10  1985      958.000000
     6    10  1985      945.000000
     7    10  1985      924.000000
     8    10  1985      890.000000
     9    10  1985      885.000000
    10    10  1985      912.000000
    11    10  1985      942.000000
    12    10  1985      976.000000
    13    10  1985     1004.000000
    14    10  1985     1035.000000
    15    10  1985     1055.000000
    16    10  1985     1063.000000
    17    10  1985     1070.000000
    18    10  1985     1078.000000
    19    10  1985     1082.000000
