MANAUS	-60.027	-3.137
    14    11  1984     2000.000000
    15    11  1984     2002.000000
    16    11  1984     2004.000000
    17    11  1984     2006.000000
    18    11  1984     2008.000000
    19    11  1984     2009.000000
    20    11  1984     2010.000000
    21    11  1984     2010.000000
    22    11  1984     2007.000000
    23    11  1984     2003.000000
    24    11  1984     1999.000000
    25    11  1984     1995.000000
    26    11  1984     1992.000000
    27    11  1984     1990.000000
    28    11  1984     1987.000000
    29    11  1984     1986.000000
    30    11  1984     1983.000000
     1    12  1984     1980.000000
     2    12  1984     1978.000000
     3    12  1984     1976.000000
     4    12  1984     1975.000000
     5    12  1984     1974.000000
     6    12  1984     1973.000000
     7    12  1984     1975.000000
     8    12  1984     1978.000000
     9    12  1984     1981.000000
    10    12  1984     1986.000000
    11    12  1984     1992.000000
    12    12  1984     2000.000000
    13    12  1984     2008.000000
    14    12  1984     2016.000000
    15    12  1984     2024.000000
    16    12  1984     2032.000000
    17    12  1984     2040.000000
    18    12  1984     2049.000000
    19    12  1984     2058.000000
    20    12  1984     2067.000000
    21    12  1984     2075.000000
    22    12  1984     2083.000000
    23    12  1984     2091.000000
    24    12  1984     2100.000000
    25    12  1984     2109.000000
    26    12  1984     2118.000000
    27    12  1984     2127.000000
    28    12  1984     2135.000000
    29    12  1984     2143.000000
    30    12  1984     2151.000000
    31    12  1984     2160.000000
     1     1  1985     2169.000000
     2     1  1985     2178.000000
     3     1  1985     2186.000000
     4     1  1985     2194.000000
     5     1  1985     2201.000000
     6     1  1985     2208.000000
     7     1  1985     2214.000000
     8     1  1985     2221.000000
     9     1  1985     2231.000000
    10     1  1985     2241.000000
    11     1  1985     2251.000000
    12     1  1985     2262.000000
    13     1  1985     2273.000000
    14     1  1985     2284.000000
    15     1  1985     2296.000000
    16     1  1985     2308.000000
    17     1  1985     2318.000000
    18     1  1985     2328.000000
    19     1  1985     2337.000000
    20     1  1985     2345.000000
    21     1  1985     2353.000000
    22     1  1985     2360.000000
    23     1  1985     2369.000000
    24     1  1985     2376.000000
    25     1  1985     2381.000000
    26     1  1985     2385.000000
    27     1  1985     2388.000000
    28     1  1985     2391.000000
    29     1  1985     2394.000000
    30     1  1985     2396.000000
    31     1  1985     2396.000000
     1     2  1985     2394.000000
     2     2  1985     2392.000000
     3     2  1985     2390.000000
     4     2  1985     2388.000000
     5     2  1985     2385.000000
     6     2  1985     2382.000000
     7     2  1985     2379.000000
     8     2  1985     2378.000000
     9     2  1985     2376.000000
    10     2  1985     2373.000000
    11     2  1985     2370.000000
    12     2  1985     2365.000000
    13     2  1985     2359.000000
    14     2  1985     2355.000000
    15     2  1985     2350.000000
    16     2  1985     2345.000000
    17     2  1985     2340.000000
    18     2  1985     2335.000000
    19     2  1985     2329.000000
    20     2  1985     2323.000000
    21     2  1985     2317.000000
    22     2  1985     2315.000000
    23     2  1985     2313.000000
    24     2  1985     2311.000000
    25     2  1985     2308.000000
    26     2  1985     2306.000000
    27     2  1985     2303.000000
    28     2  1985     2301.000000
     1     3  1985     2301.000000
     2     3  1985     2300.000000
     3     3  1985     2299.000000
     4     3  1985     2298.000000
     5     3  1985     2298.000000
     6     3  1985     2300.000000
     7     3  1985     2300.000000
     8     3  1985     2302.000000
     9     3  1985     2302.000000
    10     3  1985     2302.000000
    11     3  1985     2302.000000
    12     3  1985     2302.000000
    13     3  1985     2303.000000
    14     3  1985     2303.000000
    15     3  1985     2303.000000
    16     3  1985     2303.000000
    17     3  1985     2304.000000
    18     3  1985     2305.000000
    19     3  1985     2306.000000
    20     3  1985     2307.000000
    21     3  1985     2317.000000
    22     3  1985     2319.000000
    23     3  1985     2321.000000
    24     3  1985     2323.000000
    25     3  1985     2326.000000
    26     3  1985     2329.000000
    27     3  1985     2330.000000
    28     3  1985     2331.000000
    29     3  1985     2332.000000
    30     3  1985     2333.000000
    31     3  1985     2335.000000
     1     4  1985     2337.000000
     2     4  1985     2340.000000
     3     4  1985     2342.000000
     4     4  1985     2343.000000
     5     4  1985     2343.000000
     6     4  1985     2343.000000
     7     4  1985     2343.000000
     8     4  1985     2343.000000
     9     4  1985     2344.000000
    10     4  1985     2344.000000
    11     4  1985     2345.000000
    12     4  1985     2345.000000
    13     4  1985     2345.000000
    14     4  1985     2345.000000
    15     4  1985     2346.000000
    16     4  1985     2346.000000
    17     4  1985     2346.000000
    18     4  1985     2344.000000
    19     4  1985     2342.000000
    20     4  1985     2340.000000
    21     4  1985     2338.000000
    22     4  1985     2337.000000
    23     4  1985     2336.000000
    24     4  1985     2336.000000
    25     4  1985     2336.000000
    26     4  1985     2341.000000
    27     4  1985     2346.000000
    28     4  1985     2351.000000
    29     4  1985     2356.000000
    30     4  1985     2356.000000
     1     5  1985     2356.000000
     2     5  1985     2358.000000
     3     5  1985     2360.000000
     4     5  1985     2364.000000
     5     5  1985     2368.000000
     6     5  1985     2373.000000
     7     5  1985     2378.000000
     8     5  1985     2382.000000
     9     5  1985     2387.000000
    10     5  1985     2393.000000
    11     5  1985     2401.000000
    12     5  1985     2409.000000
    13     5  1985     2417.000000
    14     5  1985     2426.000000
    15     5  1985     2434.000000
    16     5  1985     2438.000000
    17     5  1985     2447.000000
    18     5  1985     2454.000000
    19     5  1985     2460.000000
    20     5  1985     2466.000000
    21     5  1985     2474.000000
    22     5  1985     2480.000000
    23     5  1985     2484.000000
    24     5  1985     2490.000000
    25     5  1985     2496.000000
