SANTOANTÔNIODOIÇÁ	-67.933	-3.083
    14     8  1984      609.000000
    15     8  1984      587.000000
    16     8  1984      567.000000
    17     8  1984      558.000000
    18     8  1984      556.000000
    19     8  1984      566.000000
    20     8  1984      582.000000
    21     8  1984      598.000000
    22     8  1984      613.000000
    23     8  1984      624.000000
    24     8  1984      630.000000
    25     8  1984      632.000000
    26     8  1984      632.000000
    27     8  1984      632.000000
    28     8  1984      630.000000
    29     8  1984      630.000000
    30     8  1984      632.000000
    31     8  1984      634.000000
     1     9  1984      636.000000
     2     9  1984      640.000000
     3     9  1984      644.000000
     4     9  1984      650.000000
     5     9  1984      654.000000
     6     9  1984      650.000000
     7     9  1984      647.000000
     8     9  1984      640.000000
     9     9  1984      634.000000
    10     9  1984      624.000000
    11     9  1984      616.000000
    12     9  1984      606.000000
    13     9  1984      595.000000
    14     9  1984      582.000000
    15     9  1984      571.000000
    16     9  1984      572.000000
    17     9  1984      578.000000
    18     9  1984      586.000000
    19     9  1984      592.000000
    20     9  1984      596.000000
    21     9  1984      593.000000
    22     9  1984      590.000000
    23     9  1984      585.000000
    24     9  1984      576.000000
    25     9  1984      562.000000
    26     9  1984      551.000000
    27     9  1984      538.000000
    28     9  1984      526.000000
    29     9  1984      511.000000
    30     9  1984      498.000000
     1    10  1984      488.000000
     2    10  1984      476.000000
     3    10  1984      464.000000
     4    10  1984      457.000000
     5    10  1984      468.000000
     6    10  1984      478.000000
     7    10  1984      488.000000
     8    10  1984      498.000000
     9    10  1984      510.000000
    10    10  1984      524.000000
    11    10  1984      540.000000
    12    10  1984      554.000000
    13    10  1984      566.000000
    14    10  1984      578.000000
    15    10  1984      586.000000
    16    10  1984      596.000000
    17    10  1984      609.000000
    18    10  1984      622.000000
    19    10  1984      634.000000
    20    10  1984      646.000000
    21    10  1984      657.000000
    22    10  1984      666.000000
    23    10  1984      673.000000
    24    10  1984      678.000000
    25    10  1984      688.000000
    26    10  1984      700.000000
    27    10  1984      714.000000
    28    10  1984      731.000000
    29    10  1984      750.000000
    30    10  1984      765.000000
    31    10  1984      774.000000
     1    11  1984      781.000000
     2    11  1984      785.000000
     3    11  1984      785.000000
     4    11  1984      778.000000
     5    11  1984      770.000000
     6    11  1984      762.000000
     7    11  1984      754.000000
     8    11  1984      744.000000
     9    11  1984      732.000000
    10    11  1984      714.000000
    11    11  1984      693.000000
    12    11  1984      672.000000
    13    11  1984      648.000000
    14    11  1984      623.000000
    15    11  1984      592.000000
    16    11  1984      570.000000
    17    11  1984      548.000000
    18    11  1984      537.000000
    19    11  1984      528.000000
    20    11  1984      526.000000
    21    11  1984      522.000000
    22    11  1984      521.000000
    23    11  1984      520.000000
    24    11  1984      520.000000
    25    11  1984      527.000000
    26    11  1984      534.000000
    27    11  1984      548.000000
    28    11  1984      568.000000
    29    11  1984      593.000000
    30    11  1984      622.000000
     1    12  1984      652.000000
     2    12  1984      687.000000
     3    12  1984      728.000000
     4    12  1984      764.000000
     5    12  1984      800.000000
     6    12  1984      828.000000
     7    12  1984      858.000000
     8    12  1984      884.000000
     9    12  1984      904.000000
    10    12  1984      922.000000
    11    12  1984      938.000000
    12    12  1984      953.000000
    13    12  1984      962.000000
    14    12  1984      969.000000
    15    12  1984      977.000000
    16    12  1984      981.000000
    17    12  1984      983.000000
    18    12  1984      988.000000
    19    12  1984      994.000000
    20    12  1984      996.000000
    21    12  1984      996.000000
    22    12  1984      998.000000
    23    12  1984      998.000000
    24    12  1984      996.000000
    25    12  1984      994.000000
    26    12  1984      992.000000
    27    12  1984      992.000000
    28    12  1984      994.000000
    29    12  1984      998.000000
    30    12  1984     1003.000000
    31    12  1984     1008.000000
     1     1  1985     1014.000000
     2     1  1985     1022.000000
     3     1  1985     1030.000000
     4     1  1985     1036.000000
     5     1  1985     1040.000000
     6     1  1985     1046.000000
     7     1  1985     1049.000000
     8     1  1985     1053.000000
     9     1  1985     1055.000000
    10     1  1985     1056.000000
    11     1  1985     1056.000000
    12     1  1985     1051.000000
    13     1  1985     1047.000000
    14     1  1985     1040.000000
    15     1  1985     1031.000000
    16     1  1985     1019.000000
    17     1  1985     1002.000000
    18     1  1985      983.000000
    19     1  1985      965.000000
    20     1  1985      944.000000
    21     1  1985      917.000000
    22     1  1985      899.000000
    23     1  1985      884.000000
    24     1  1985      862.000000
    25     1  1985      836.000000
    26     1  1985      804.000000
    27     1  1985      772.000000
    28     1  1985      738.000000
    29     1  1985      706.000000
    30     1  1985      684.000000
    31     1  1985      662.000000
     1     2  1985      636.000000
     2     2  1985      613.000000
     3     2  1985      592.000000
     4     2  1985      566.000000
     5     2  1985      552.000000
     6     2  1985      537.000000
     7     2  1985      526.000000
     8     2  1985      521.000000
     9     2  1985      520.000000
    10     2  1985      528.000000
    11     2  1985      534.000000
    12     2  1985      542.000000
    13     2  1985      554.000000
    14     2  1985      565.000000
    15     2  1985      573.000000
    16     2  1985      582.000000
    17     2  1985      592.000000
    18     2  1985      597.000000
    19     2  1985      600.000000
    20     2  1985      606.000000
    21     2  1985      615.000000
    22     2  1985      632.000000
    23     2  1985      647.000000
    24     2  1985      668.000000
    25     2  1985      678.000000
    26     2  1985      688.000000
    27     2  1985      692.000000
    28     2  1985      694.000000
     1     3  1985      692.000000
     2     3  1985      688.000000
     3     3  1985      680.000000
     4     3  1985      671.000000
     5     3  1985      663.000000
     6     3  1985      656.000000
     7     3  1985      656.000000
     8     3  1985      662.000000
     9     3  1985      675.000000
    10     3  1985      688.000000
    11     3  1985      706.000000
    12     3  1985      726.000000
    13     3  1985      754.000000
    14     3  1985      776.000000
    15     3  1985      797.000000
    16     3  1985      812.000000
    17     3  1985      826.000000
    18     3  1985      836.000000
    19     3  1985      841.000000
    20     3  1985      848.000000
    21     3  1985      856.000000
    22     3  1985      858.000000
    23     3  1985      858.000000
    24     3  1985      855.000000
    25     3  1985      851.000000
    26     3  1985      845.000000
    27     3  1985      836.000000
    28     3  1985      828.000000
    29     3  1985      821.000000
    30     3  1985      815.000000
    31     3  1985      806.000000
     1     4  1985      802.000000
     2     4  1985      800.000000
     3     4  1985      796.000000
     4     4  1985      792.000000
     5     4  1985      794.000000
     6     4  1985      798.000000
     7     4  1985      805.000000
     8     4  1985      812.000000
     9     4  1985      820.000000
    10     4  1985      830.000000
    11     4  1985      840.000000
    12     4  1985      848.000000
    13     4  1985      862.000000
    14     4  1985      876.000000
    15     4  1985      888.000000
    16     4  1985      900.000000
    17     4  1985      910.000000
    18     4  1985      918.000000
    19     4  1985      926.000000
    20     4  1985      935.000000
    21     4  1985      946.000000
    22     4  1985      954.000000
    23     4  1985      958.000000
    24     4  1985      960.000000
    25     4  1985      962.000000
    26     4  1985      966.000000
    27     4  1985      971.000000
    28     4  1985      977.000000
    29     4  1985      981.000000
    30     4  1985      985.000000
     1     5  1985      989.000000
     2     5  1985      993.000000
     3     5  1985      996.000000
     4     5  1985      996.000000
     5     5  1985      996.000000
     6     5  1985      998.000000
     7     5  1985     1002.000000
     8     5  1985     1002.000000
     9     5  1985     1000.000000
    10     5  1985      998.000000
    11     5  1985     1004.000000
    12     5  1985     1007.000000
    13     5  1985     1003.000000
    14     5  1985      997.000000
    15     5  1985      990.000000
    16     5  1985      990.000000
    17     5  1985      985.000000
    18     5  1985      981.000000
    19     5  1985      978.000000
    20     5  1985      976.000000
    21     5  1985      972.000000
    22     5  1985      967.000000
    23     5  1985      963.000000
    24     5  1985      960.000000
    25     5  1985      957.000000
    26     5  1985      956.000000
    27     5  1985      956.000000
    28     5  1985      958.000000
    29     5  1985      961.000000
    30     5  1985      964.000000
    31     5  1985      968.000000
     1     6  1985      973.000000
     2     6  1985      978.000000
     3     6  1985      984.000000
     4     6  1985      996.000000
     5     6  1985     1001.000000
     6     6  1985     1006.000000
     7     6  1985     1011.000000
     8     6  1985     1015.000000
     9     6  1985     1019.000000
    10     6  1985     1024.000000
    11     6  1985     1020.000000
    12     6  1985     1012.000000
    13     6  1985     1004.000000
    14     6  1985      996.000000
    15     6  1985      991.000000
    16     6  1985      986.000000
    17     6  1985      984.000000
    18     6  1985      977.000000
    19     6  1985      966.000000
    20     6  1985      959.000000
    21     6  1985      952.000000
    22     6  1985      940.000000
    23     6  1985      916.000000
    24     6  1985      898.000000
    25     6  1985      880.000000
    26     6  1985      863.000000
    27     6  1985      847.000000
    28     6  1985      844.000000
    29     6  1985      843.000000
    30     6  1985      844.000000
     1     7  1985      848.000000
     2     7  1985      852.000000
     3     7  1985      852.000000
     4     7  1985      852.000000
